;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference;AcceptedSpecies
871;0;Europe;Helicoverpa armigera;Palearctic;2017;Tay, W., Walsh, T., Downes, S., Anderson, C., Jermiin, L., Wong, T., ... and Gordon, K. (2017). Mitochondrial DNA and trade data support multiple origins of Helicoverpa armigera (Lepidoptera, Noctuidae) in Brazil. Scientific Reports. 7: 45302;Helicoverpa armigera
872;0;Europe;Ectoedemia heringella;Palearctic;2010;van Nieukerken, E., Lastuvka, A. and Lastuvka, Z. (2010). Western Palaearctic Ectoedemia (Zimmermannia) Hering and Ectoedemia Busck s. str. (Lepidoptera: Nepticulidae): five new species and new data on distribution, hostplants and recognition. ZooKeys. 32: 1-82;Ectoedemia heringella
873;0;Europe;Aethes rubiginana;Palearctic;2003;Trematerra, P. and Jel, J. (2003). Aethes rubiginana (Walsingham, 1903) in Francia ed Epibactra sareptana (Herrich-Schaffer, 1861) in Italia (Lepidoptera Tortricidae ). Bollettino di Zoologia Agraria e di Bachicoltura. 35(2): 107-110;Aethes rubiginana
874;0;Africa;Hypolimnas misippus;Oceanina;2021;Coetzer, A. and Westrip, J. (2021). Hypolimnas misippus. The IUCN Red List of Threatened Species 2021: e.T62148588A161331411;Hypolimnas misippus
875;0;Africa;Pardasena virgulana;Oceanina;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Pardasena virgulana
876;0;Africa;Sameodes cancellalis;Oceanina;2018;Poltavsky, A., Kravchenko, V., Traore, M., Traore, S., Gergely, P., Witt, T., ... and Muller, G. (2018). The Pyraloidea (Lepidoptera) fauna of the woody savannah belt in Mali, West Africa. Zootaxa. 4457(1): 39–69;Sameodes cancellalis
877;0;Africa;Herpetogramma basalis;Oceanina;2018;Poltavsky, A., Kravchenko, V., Traore, M., Traore, S., Gergely, P., Witt, T., ... and Muller, G. (2018). The Pyraloidea (Lepidoptera) fauna of the woody savannah belt in Mali, West Africa. Zootaxa. 4457(1): 39-69;Herpetogramma basalis
878;0;Africa;Hypena commixtalis;Oceanina;2024;de Prins J. and de Prins W. (2024). Afromoths, online database of Afrotropical moth species (Lepidoptera). Available at: http://www.afromoths.net;Hypena commixtalis
879;0;Africa;Leucoptera coffeella;Oceanina;1984;Green, D. (1984). A Proposed Origin of the Coffee Leaf-miner, Leucoptera coffeella (Guerin-Meneville) (Lepidoptera: Lyonetiidae). Bulletin of the Entomological Society of America. 30(1): 30–31;Leucoptera coffeella
880;0;Africa;Lampides boeticus;Oceanina;2021;Edge, D. and Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394;Lampides boeticus
