Species;Continent;Realm;BibliographicReference;ReferenceYear
Eupithecia ultimaria;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Euploea mulciber;Asia;Oriental;Hao, J. et al. (2013). Complete mitogenomes of Euploea mulciber (Nymphalidae: Danainae) and Libythea celtis (Nymphalidae: Libytheinae) and their phylogenetic implications. International Scholarly Research Notices. 2013(1): 491636;2013.0
Euploea mulciber;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Euproctis chrysorrhoea;Europe;Palearctic;Trajkovic, A., Zikic, V. (2023). Stuck in the caterpillars web: A half-century of biocontrol research and application on gregarious Lepidopteran pests in Europe. Sustainability. 15(4): 2881;2023.0
Euproctis chrysorrhoea;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Euproctis fraterna;Asia;Oriental;Nizamani, I. et al. (2016). Screening Of Jujube Varieties Against Euproctis Fraterna Moore. Science International-Lahore. 28(1): 447-453;2016.0
Euproctis fraterna;Asia;Saharo-Arabian;Nizamani, I. et al. (2016). Screening Of Jujube Varieties Against Euproctis Fraterna Moore. Science International-Lahore. 28(1): 447-453;2016.0
Macaria abydata;North America;Nearctic;Holloway, J. (1993). Moths of Borneo 11. Family Geometridae. Subfamily: Ennominae. Southdene Sdn.;1993.0
Macaria abydata;South America;Neotropical;Holloway, J. (1993). Moths of Borneo 11. Family Geometridae. Subfamily: Ennominae. Southdene Sdn.;1993.0
Eustixia pupula;North America;Nearctic;Munroe, E. (1975). Biogeography of North American Odontiinae (Lepidoptera: Pyralidae). The Canadian Entomologist. 107(2): 129-154;1975.0
Macaria abydata;North America;Panamanian;Holloway, J. (1993). Moths of Borneo 11. Family Geometridae. Subfamily: Ennominae. Southdene Sdn.;1993.0
Eustixia pupula;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Eutelia adulatrix;Africa;Afrotropical;Joshi, R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera, Noctuoidea). Zootaxa. 5448(2): 151-182;2024.0
Eutelia adulatrix;Asia;Palearctic;Joshi, R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera, Noctuoidea). Zootaxa. 5448(2): 151-182;2024.0
Eutelia adulatrix;Europe;Palearctic;Joshi, R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera, Noctuoidea). Zootaxa. 5448(2): 151-182;2024.0
Eutelia adulatrix;Asia;Saharo-Arabian;Joshi, R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera, Noctuoidea). Zootaxa. 5448(2): 151-182;2024.0
Eutelia adulatrix;Asia;Oriental;Joshi, R. et al. (2024). A Catalogue of Indian Euteliidae (Lepidoptera, Noctuoidea). Zootaxa. 5448(2): 151-182;2024.0
Eutorna phaulocosma;Australia;Australian;Charles, J. et al. (1987). Preliminary studies of Eutorna phaulocosma (Lepidoptera: Oecophoridae) in New Zealand. New Zealand Journal of Zoology. 14(4): 519-526;1987.0
Eutorna phaulocosma;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Euzophera osseatella;Europe;Palearctic;Gumhalter, D. (2019). A revised checklist of pyraloid moths (Lepidoptera: Pyraloidea) in Croatia. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 28(2): 271-288;2019.0
Euzophera osseatella;Africa;Saharo-Arabian;Gumhalter, D. (2019). A revised checklist of pyraloid moths (Lepidoptera: Pyraloidea) in Croatia. Natura Croatica: Periodicum Musei Historiae Naturalis Croatici. 28(2): 271-288;2019.0
Euzophera pinguis;Asia;Palearctic;Garre, M. et al. (2022). An annotated checklist of the Pyralidae of the region of Murcia (Spain) with new records, distribution and biological data (Lepidoptera, Pyraloidea, Pyralidae). Biodiversity Data Journal. 10: e79255;2022.0
Euzophera pinguis;Europe;Palearctic;Garre, M. et al. (2022). An annotated checklist of the Pyralidae of the region of Murcia (Spain) with new records, distribution and biological data (Lepidoptera, Pyraloidea, Pyralidae). Biodiversity Data Journal. 10: e79255;2022.0
Evergestis aenealis;Asia;Palearctic;Alipanah, H. et al. (2018). Taxonomic study of the genus Evergestis Hubner, 1825 (Lepidoptera: Crambidae: Glaphyriinae) in Iran with description of a new species. Zootaxa. 4420(1): 1-33;2018.0
Evergestis aenealis;Europe;Palearctic;Alipanah, H. et al. (2018). Taxonomic study of the genus Evergestis Hubner, 1825 (Lepidoptera: Crambidae: Glaphyriinae) in Iran with description of a new species. Zootaxa. 4420(1): 1-33;2018.0
Evergestis aenealis;Asia;Saharo-Arabian;Alipanah, H. et al. (2018). Taxonomic study of the genus Evergestis Hubner, 1825 (Lepidoptera: Crambidae: Glaphyriinae) in Iran with description of a new species. Zootaxa. 4420(1): 1-33;2018.0
Exelastis montichristi;North America;Nearctic;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis montichristi;South America;Neotropical;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis montichristi;North America;Panamanian;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis montichristi;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Exelastis pumilio;North America;Nearctic;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis pumilio;South America;Neotropical;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis pumilio;North America;Panamanian;Matthews, D. et al. (2019). Plume moths recorded from the United States naval base, Guantanamo Bay, Cuba. News of the Lepidopterists Society. 61(1): 14-19;2019.0
Exelastis pumilio;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Exoteleia dodecella;Europe;Palearctic;Martin, J. (1959). The Bionomics of the Pine Bud Moth, Exoteleia dodecella L.(Lepidoptera: Gelechiidae), in Ontario1. The Canadian Entomologist. 91(1): 5-14;1959.0
Exoteleia dodecella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Feltia subterranea;North America;Nearctic;Prestes, A. (2014). A New Exotic Noctuid for the Hawaiian Archipelago: Feltia subterranea (Fabricius) (Lepidoptera: Noctuidae: Noctuinae). The Journal of the Lepidopterists Society. 68(3): 220-221;2014.0
Feltia subterranea;South America;Neotropical;Prestes, A. (2014). A New Exotic Noctuid for the Hawaiian Archipelago: Feltia subterranea (Fabricius) (Lepidoptera: Noctuidae: Noctuinae). The Journal of the Lepidopterists Society. 68(3): 220-221;2014.0
Feltia subterranea;North America;Panamanian;Prestes, A. (2014). A New Exotic Noctuid for the Hawaiian Archipelago: Feltia subterranea (Fabricius) (Lepidoptera: Noctuidae: Noctuinae). The Journal of the Lepidopterists Society. 68(3): 220-221;2014.0
Feltia subterranea;South America;Panamanian;Prestes, A. (2014). A New Exotic Noctuid for the Hawaiian Archipelago: Feltia subterranea (Fabricius) (Lepidoptera: Noctuidae: Noctuinae). The Journal of the Lepidopterists Society. 68(3): 220-221;2014.0
Fomoria septembrella;Europe;Palearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Fundella argentina;South America;Neotropical;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University];2006.0
Fundella argentina;South America;Neotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Galleria mellonella;Asia;Palearctic;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41;2020.0
Galleria mellonella;Europe;Palearctic;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41;2020.0
Galleria mellonella;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Galleria mellonella;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Galtara extensa;Africa;Madagascan;Reimer, N. (2008). Field Release of Secusio extensa (Butler)(Lepidoptera: Arctiidae), for Biological Control of Fireweed, Senecio madagascariensis Poiret (Asterales: Asteraceae), in Hawaii. Draft Environmental Assessment. Attachment 4;2008.0
Galtara extensa;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Garella musculana;Asia;Oriental;Yildiz, Y. et al. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302;2018.0
Garella musculana;Asia;Oriental;Scaccini, D. et al. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243;2023.0
Garella musculana;Asia;Palearctic;Yildiz, Y. et al. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302;2018.0
Garella musculana;Asia;Palearctic;Scaccini, D. et al. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243;2023.0
Garella musculana;Europe;Palearctic;Yildiz, Y. et al. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302;2018.0
Garella musculana;Asia;Saharo-Arabian;Yildiz, Y. et al. (2018). Erschoviella musculana Erschoff 1874, a new record and a new walnut pest in Turkey. Journal of Bartin Faculty of Forestry. 20(2): 296-302;2018.0
Garella musculana;Asia;Saharo-Arabian;Scaccini, D. et al. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243;2023.0
Garella musculana;Asia;Sino-Japanese;Scaccini, D. et al. (2023). First report of Garella musculana (Erschov, 1874) (Lepidoptera: Nolidae) in Italy with insights into its identity. Journal of Applied Entomology. 147: 239-243;2023.0
Garella musculana;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Garella nilotica;Africa;Afrotropical;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;Africa;Madagascan;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;Asia;Oriental;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;Africa;Saharo-Arabian;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;Asia;Saharo-Arabian;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;Asia;Sino-Japanese;Muller, G. et al. (2010). The Nolidae of Jordan: Distribution, Phenology and Ecology. Entomofauna. 31(8): 69-84;2010.0
Garella nilotica;North America;Nearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Garella nilotica;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Garella nilotica;Oceania;Oceanian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Gauna aegusalis;Australia;Australian;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;2001.0
Gauna aegusalis;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Gelechia senticetella;Europe;Palearctic;Karsholt, O. et al. (2023). Overview of the Gelechiidae moths (Lepidoptera) of Krk Island, Croatia: diversity, distribution and ecological insights. Gortania, Botanica, Zoologia. 45: 95-124;2023.0
Mythimna separata;Australia;Australian;Holloway, J. (2024). Moths of Borneo 12. Family Notuidae, Trifine. Subfamilies: Noctuinae, Heliothinae, Hadeninae, Acronictinae, Amphipyrinae, Agaristinae. Southdene Sdn.;2024.0
Gelechia senticetella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Mythimna separata;Asia;Oriental;Holloway, J. (2024). Moths of Borneo 12. Family Notuidae, Trifine. Subfamilies: Noctuinae, Heliothinae, Hadeninae, Acronictinae, Amphipyrinae, Agaristinae. Southdene Sdn.;2024.0
Glyphipterix simpliciella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Glyphodes onychinalis;Australia;Australian;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Oceania;Australian;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Asia;Oriental;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Africa;Saharo-Arabian;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Asia;Saharo-Arabian;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Asia;Sino-Japanese;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Oceania;Oceanian;Solis, M. (2008). New sightings of Glyphodes onychinalis (Guenee)(Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. News of the Lepidopterists Society. 50(3): 79-80;2008.0
Glyphodes onychinalis;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Glyphodes onychinalis;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Glyphodes onychinalis;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Glyphodes pyloalis;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Glyphodes pyloalis;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Gracillaria syringella;Asia;Palearctic;de Prins, J., de Prins, W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net;2024.0
Gracillaria syringella;Europe;Palearctic;de Prins, J., de Prins, W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net;2024.0
Gracillaria syringella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Graellsia isabellae;Europe;Palearctic;World Conservation Monitoring Centre (1996). Graellsia isabelae. The IUCN Red List of Threatened Species. 1996: e.T9427A12986143;1996.0
Grammodes stolida;Africa;Afrotropical;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Grapholita delineana;Oceania;Oceanian;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Asia;Oriental;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Asia;Palearctic;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Europe;Palearctic;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Asia;Saharo-Arabian;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Asia;Sino-Japanese;Byun, B. et al. (2012). A review of the genus Grapholita (Lepidoptera, Tortricidae) in North Korea. Animal Systematics, Evolution and Diversity. 28(4): 291-296;2012.0
Grapholita delineana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Grapholita molesta;Asia;Palearctic;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41;2020.0
Grapholita molesta;Europe;Palearctic;Fuentes, N. et al. (2020). Multi-taxa inventory of naturalized species in Chile (including native Chilean species introduced in other areas of the national territory outside of their original range). NeoBiota. 60: 25-41;2020.0
Grapholita molesta;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Grapholita molesta;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Grapholita prunivora;North America;Nearctic;Mantey, K. et al. (2000). Laboratory rearing of lesser appleworm (Lepidoptera: Tortricidae). Journal of economic entomology. 93(3): 1021-1024;2000.0
Gymnoscelis rufifasciata;Asia;Palearctic;Argaman, Q., Wysoki, M. (1991). The flower-eating Gymnoscelis (Lep. Geometridae) in Israel. Tropical Pest Management. 37(2): 185;1991.0
Gymnoscelis rufifasciata;Europe;Palearctic;Argaman, Q., Wysoki, M. (1991). The flower-eating Gymnoscelis (Lep. Geometridae) in Israel. Tropical Pest Management. 37(2): 185;1991.0
Gymnoscelis rufifasciata;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Gypsonoma aceriana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Hadena compta;Asia;Palearctic;Kravchenko, V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454;2007.0
Hadena compta;Europe;Palearctic;Kravchenko, V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454;2007.0
Hadena compta;Africa;Saharo-Arabian;Kravchenko, V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454;2007.0
Hadena compta;Asia;Saharo-Arabian;Kravchenko, V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454;2007.0
Hadena compta;Asia;Sino-Japanese;Kravchenko, V. et al. (2007). The Hadeninae of Israel (Lepidoptera: Noctuidae). SHILAP Revista de Lepidopterologia. 35(140): 441-454;2007.0
Haplochrois theae;Asia;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Haplochrois theae;Asia;Oriental;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Borbo cinnara;Australia;Australian;Inayoshi, Y. (2024). A Check List of Butterflies in Indo-China - Chiefly from Thailand, Laos and Vietnam.;2024.0
Borbo cinnara;Oceania;Oceanian;Inayoshi, Y. (2024). A Check List of Butterflies in Indo-China - Chiefly from Thailand, Laos and Vietnam.;2024.0
Haplotinea insectella;Europe;Palearctic;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Haplotinea insectella;Africa;Saharo-Arabian;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0
Haritalodes derogata;Africa;Afrotropical;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Haritalodes derogata;Australia;Australian;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Haritalodes derogata;Africa;Madagascan;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Haritalodes derogata;Asia;Oriental;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Haritalodes derogata;Asia;Palearctic;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Haritalodes derogata;Asia;Sino-Japanese;Dalsaniya, N. et al. (2025). Life cycle and morphometrics of leaf roller, Haritalodes derogata (Fabricius) on cotton in Surat, Gujarat, India. Entomon. 50(1): 97-102;2025.0
Hasora badra;Asia;Oriental;Husain, A., Hasan, W. (2023). Skipper butterflies (Hesperiidae: Lepidoptera) common to Sulawesi (Indonesia) and India, with their host plants. International Journal of Agricultural and Applied Sciences. 4(2): 113-119;2023.0
Hasora badra;Asia;Oriental;Ministery of Environment - Sri Lanka (2012). The National Red List 2012 of Sri Lanka;2012.0
Hasora badra;Asia;Oriental;de Jong, R., Treadaway, C. (1993). The Hesperiidae (lepidoptera) of the Philippines. Zoologische Verhandelingen. 288(1): 1-125;1993.0
Hasora badra;Asia;Sino-Japanese;Sajan, K., Sapkota, A. (2022). Additional distribution records of butterflies (Lepidoptera: Rhopalocera) with seven species new to Nepal. Biodiversitas. 23(5): 2711-2738;2022.0
Hecatera dysodea;Africa;Afrotropical;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Asia;Oriental;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Asia;Palearctic;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Europe;Palearctic;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Africa;Saharo-Arabian;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Asia;Sino-Japanese;Landolt, P. et al. (2010). First report of Hecatera dysodea (Denis and Schiffermuller)(Noctuidae) in the Pacific Northwest of the United States. The Journal of the Lepidopterists Society. 64(4): 192-196;2010.0
Hecatera dysodea;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Hedya nubiferana;Europe;Palearctic;Josvai, J. et al. (2014). Performance of traps baited with female-targeted lure vs. pheromone traps for monitoring of the green budworm moth Hedya nubiferana Haw. in Hungary. Acta Phytopathologica et Entomologica Hungarica. 49(2): 223-233;2014.0
Hedya nubiferana;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Hedya salicella;Asia;Palearctic;Maharramova, S., Ayberk, H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linzer Biologische Beitrage. 49(1): 677-686;2017.0
Hedya salicella;Europe;Palearctic;Maharramova, S., Ayberk, H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linzer Biologische Beitrage. 49(1): 677-686;2017.0
Hedya salicella;Europe;Palearctic;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0
Hedya salicella;Africa;Saharo-Arabian;Maharramova, S., Ayberk, H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linzer Biologische Beitrage. 49(1): 677-686;2017.0
Hedya salicella;Asia;Saharo-Arabian;Maharramova, S., Ayberk, H. (2017). New records of leafrollers reared in Azerbaijan (Lepidoptera: Tortricidae). Linzer Biologische Beitrage. 49(1): 677-686;2017.0
Hedya salicella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Helcystogramma convolvuli;Africa;Afrotropical;Bippus, M. (2020). Records of Lepidoptera from the Malagasy region with description of new species (Lepidoptera: Tortricidae, Noctuidae, Alucitidae, Choreutidae, Euteliidae, Gelechiidae, Blastobasidae, Pterophoridae, Tonzidae, Tineidae, Praydidae, Cosmopterigidae, Batrachedridae). Phelsuma. 28(2020): 60-100;2020.0
Helcystogramma convolvuli;Africa;Madagascan;Bippus, M. (2020). Records of Lepidoptera from the Malagasy region with description of new species (Lepidoptera: Tortricidae, Noctuidae, Alucitidae, Choreutidae, Euteliidae, Gelechiidae, Blastobasidae, Pterophoridae, Tonzidae, Tineidae, Praydidae, Cosmopterigidae, Batrachedridae). Phelsuma. 28(2020): 60-100;2020.0
