Species;Continent;Realm;BibliographicReference;ReferenceYear
Acontia crocata;Asia;Oriental;Guenee, A. (1852). Noctuelites II. in Boisduval and Guenee: Histoire naturelle des insectes. Species general des lepidopteres 6: 1-444. Paris (Roret);1852.0
Acontia exigua;South America;Neotropical;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University];2006.0
Acontia exigua;North America;Nearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia exigua;North America;Panamanian;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia exigua;South America;Panamanian;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia exigua;South America;Neotropical;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia margana;North America;Nearctic;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University];2006.0
Acontia margana;South America;Neotropical;Roque-Albelo, L. (2006). Diversity and ecology of the Lepidoptera in the Galapagos Islands, Ecuador. [PhD Thesis, Cardiff University];2006.0
Acontia margana;North America;Panamanian;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia margana;South America;Neotropical;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia margana;North America;Nearctic;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acontia margana;South America;Panamanian;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0
Acraea terpsicore;Asia;Oriental;Braby, M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly, Acraea terpsicore (Linnaeus, 1758) (Lepidoptera: Nymphalidae), in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143;2014.0
Acraea terpsicore;Asia;Oriental;Chowdhury, S. et al. (2021). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27(3): 402-415;2021.0
Acrobasis suavella;Europe;Palearctic;Boyes, D. et al. (2021). The genome sequence of the sycamore, Acronicta aceris (Linnaeus, 1758). Wellcome Open Research. 6: 326;2021.0
Acrobasis suavella;Europe;Palearctic;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
Acrocercops laciniella;Australia;Australian;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47;2001.0
Acrocercops laciniella;Australia;Australian;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0
