Reference;Title;CrossRef
Tay, W., Rane, R., Padovan, A., Walsh, T., Elfekih, S., Downes, S., ... and Gordon, K. (2022). Global population genomic signature of Spodoptera frugiperda (fall armyworm) supports complex introduction events across the Old World. Communications Biology. 5: 297;Global population genomic signature of Spodoptera frugiperda (fall armyworm) supports complex introduction events across the Old World;Tay, W., Rane, R., Padovan, A., Walsh, T., Elfekih, S., Downes, S., Nam, K., DAlenon, E., Zhang, J., Wu, Y., Ngre, N., Kunz, D., Kriticos, D., Czepak, C., Otim, M., Gordon, K. (2022). Global population genomic signature of Spodoptera frugiperda (fall armyworm) supports complex introduction events across the Old World. Communications Biology, 5, 
Cao, L., Wei, S., Hoffmann, A., Wen, J. and Chen, M. (2016). Rapid genetic structuring of populations of the invasive fall webworm in relation to spatial expansion and control campaigns. Diversity and Distributions. 22: 1276-1287;Rapid genetic structuring of populations of the invasive fall webworm in relation to spatial expansion and control campaigns;Cao, L., Wei, S., Hoffmann, A., Wen, J., Chen, M. (2016). Rapid genetic structuring of populations of the invasive fall webworm in relation to spatial expansion and control campaigns. Diversity and Distributions, 22, 1276-1287
Warren, L. and Tadic, M. (1970). Fall web worm, Hyphantria cunea (Drury). Arkansas Agricultural Experimental Station Bulletin. 759: 1-106;Fall web worm, Hyphantria cunea (Drury);Unknown Author (1981). Hyphantria cunea Drury. EPPO Bulletin, 11, 1-7
Wei, S., Shi, B., Gong, Y., Jin, G., Chen, X. and Meng, X. (2013). Genetic Structure and Demographic History Reveal Migration of the Diamondback Moth Plutella xylostella (Lepidoptera: Plutellidae) from the Southern to Northern Regions of China. PLOS ONE. 8(4): e59654;Genetic Structure and Demographic History Reveal Migration of the Diamondback Moth Plutella xylostella (Lepidoptera Plutellidae) from the Southern to Northern Regions of China;Wei, S., Shi, B., Gong, Y., Jin, G., Chen, X., Meng, X. (2013). Genetic Structure and Demographic History Reveal Migration of the Diamondback Moth Plutella xylostella (Lepidoptera Plutellidae) from the Southern to Northern Regions of China. PLoS ONE, 8, e59654
He, L., Zhao, S., Ali, A., Ge, S. and Wu, K. (2021). Ambient Humidity Affects Development, Survival, and Reproduction of the Invasive Fall Armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae), in China. Journal of Economic Entomology. 114(3): 1145-1158;Ambient Humidity Affects Development, Survival, and Reproduction of the Invasive Fall Armyworm, Spodoptera frugiperda (Lepidoptera Noctuidae), in China;He, L., Zhao, S., Ali, A., Ge, S., Wu, K. (2021). Ambient Humidity Affects Development, Survival, and Reproduction of the Invasive Fall Armyworm, iSpodoptera frugiperdai (Lepidoptera Noctuidae), in China. Journal of Economic Entomology, 114, 1145-1158
Chowdhury, S., Braby, M.F., Fuller, R.A. and Zalucki, M.P. (2020). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27: 402-415.;Coasting along to a wider range niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera Nymphalidae);Chowdhury, S., Braby, M., Fuller, R., Zalucki, M. (2020). Coasting along to a wider range niche conservatism in the recent range expansion of the Tawny Coster, iAcraea terpsicorei (Lepidoptera Nymphalidae). Diversity and Distributions, 27, 402-415
Majka, C. (2005). The linden bark borer (Lepidoptera: Agonoxenidae) infesting European linden in Nova Scotia. Canadian Entomologist. 137: 620-621;The linden bark borer (Lepidoptera Agonoxenidae) infesting European linden in Nova Scotia;Majka, C. (2005). The linden bark borer (Lepidoptera Agonoxenidae) infesting European linden in Nova Scotia. The Canadian Entomologist, 137, 620-621
Sandoval, A., Ide, S., Rothmann, S., Zuniga, E., Bosch, P. and Peragallo, M. (2019) Deteccion de Leucoptera sinuella (Reutti) (Lepidoptera: Lyonetiidae) en Chile, con la identificacion de algunos parasitoides asociados. Revista Chilena de Entomologia. 45: 65-77;;
Andreas, J., Price, J. and Grevstad, F. (2022). Common Gorse Biocontrol Agents: History and Ecology in North America. In: R. Winston, Ed. Biological Control of Weeds in North America. North American Invasive Species Management Association, Milwaukee, WI. NAISMA-BCW-2022-12-GORSE-A;Common Gorse Biocontrol Agents History and Ecology in North America;
"Tanigoshi, L. and Stary, P. (2003). Hymenopterous parasitoids of the cherry bark tortrix, Enarmonia formosana (Scopoli) in central_east Europe (Hymenoptera, Ichneumonoidea; Lepidoptera, Tortricidae). Anzeiger fur Schadlingskunde, 76(4), 100-102.";Hymenopterous parasitoids of the cherry bark tortrix, Enarmonia formosana (Scopoli) in centraleast Europe (Hymenoptera, Ichneumonoidea Lepidoptera, Tortricidae);
Lafontaine, J. and Schmidt, B. (2010). Annotated check list of the Noctuoidea (Insecta, Lepidoptera) of North America north of Mexico. ZooKeys. 40: 1-239;Annotated check list of the Noctuoidea (Insecta, Lepidoptera) of North America north of Mexico;Lafontaine, D., Schmidt, C. (2010). Annotated check list of the Noctuoidea (Insecta, Lepidoptera) of North America north of Mexico. ZooKeys, 40, 1-239
