Reference;Title;CrossRef
Rodriguez, A., Trilleras, C., Bazurto, L., de la Torre, R., Aldana, I., Arias, L., ... and Villarraga, N. (2023). Capiitulo XIII Insectos asociados a los cultivares hi´bridos interespeci´ficos OxG. In: Romero, H. Los hibridos interespecificos OxG de palma de aceite. Cenipalma. Bogota D.C., Colombia.;Capiitulo XIII Insectos asociados a los cultivares hibridos interespecificos OxG;Morales Rodrguez, A., Barrios Trilleraa, C., Montes Bazurto, L., Aldana De La Torre, R., Beltrn Aldana, I., Contreras Arias, L., Pastrana Snchez, J., Rosero Guerrero, M., Castillo Villaraga, N. (2023). Insectos asociados a los cultivares hbridos interespecficos OxG. Los hbridos interespecficos OxG de palma de aceite, , 369-403
Moda, E. (1920). Sphingidae Of Para, Brazil. Novitates Zoologicae 27: 333-424;Sphingidae Of Para, Brazil;Valente, D., Teston, J. (2024). Vertical stratification of Sphingidae moths (Lepidoptera Bombycoidea Sphingidae) in the Tapajs National Forest, Par, Brazil. Zoologia (Curitiba), 41, 
Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue suisse de Zoologie, 123(2), 315-399.;Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador;Landry, B., Roque-Albelo, L., Hayden, J. (2011). A new genus and species of Spilomelinae (Lepidoptera, Pyralidae) from the Galapagos Islands, Ecuador. Revue suisse de zoologie, 118, 639-649
Barnes, M. (2002). A preliminary illustrated catalogue of the larger moths of Jamaica. Available at: http://www.mbarnes.force9.co.uk/jamaicamoths/jamaicahome.htm;A preliminary illustrated catalogue of the larger moths of Jamaica;Heppner, J. (1981). ATLAS OF NEOTROPICAL LEPIDOPTERA an illustrated catalogue of Neotropical moths and butterflies. Systematic Entomology, 6, 120-120
Tay, W., Meagher Jr, R., Czepak, C. and Groot, A. (2023). Spodoptera frugiperda: ecology, evolution, and management options of an invasive species. Annual Review of Entomology. 68(1): 299-317;Spodoptera frugiperda ecology, evolution, and management options of an invasive species.Annual Review of Entomology. 68(1) 299-317;Tay, W., Meagher, R., Czepak, C., Groot, A. (2023). iSpodoptera frugiperdai Ecology, Evolution, and Management Options of an Invasive Species. Annual Review of Entomology, 68, 299-317
Brower, A. (1994). Rapid morphological radiation and convergence among races of the butterfly Heliconius erato inferred from patterns of mitochondrial DNA evolution. PNAS. 91(14): 6491-6495;Rapid morphological radiation and convergence among races of the butterfly Heliconius erato inferred from patterns of mitochondrial DNA evolution;Brower, A. (1994). Rapid morphological radiation and convergence among races of the butterfly Heliconius erato inferred from patterns of mitochondrial DNA evolution.. Proceedings of the National Academy of Sciences, 91, 6491-6495
Gonzales, J. (2003). Castniinae (Lepidoptera: Castniidae) from Venezuela. V: Castnia Fabricius and Telchin Hu¨bner. Boleti´n del Centro de Investigaciones Biolo´gicas. 37(3): 191-201;Castniinae (Lepidoptera Castniidae) from Venezuela;Moraes, S. (None). Taxonomia e anlise cladstica do complexo Yagra Oiticica (Lepidoptera, Castniidae, Castniinae, Castniini). , , 
Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera: Noctuidae) of Great Smoky Mountains National Park. Zootaxa. 2499: 1–20;The Acontiinae and Eustrotiinae (Lepidoptera Noctuidae) of Great Smoky Mountains National Park;Pogue, M. (2010). The Acontiinae and Eustrotiinae (Lepidoptera Noctuidae) of Great Smoky Mountains National Park. Zootaxa, 2499, 
Hodges, R. (1964) A new species of Crasimorpha reared from Schinus. Proceedings of the Entomological Society of Washington.  65: 303-305;;
Koster, S., Alpizar, M., Badenes-Perez, F.and Nishida, K. (2007). Two species of the Mompha trithalama-complex as possible biological control of Koster’s curse and Velvet tree. XV European Congress of Lepidopterology - Berlin.;Two species of the Mompha trithalama-complex as possible biological control of Kosters curse and Velvet tree;
Silva, N., Duarte, M., Araujo, E. and Morais, H. (2014). Larval biology of anthophagous Eumaeini (Lepidoptera: Lycaenidae, Theclinae) in the Cerrado of central Brazil. Journal of Insect Science. 14(184): 1-17;Larval biology of anthophagous Eumaeini (Lepidoptera Lycaenidae, Theclinae) in the Cerrado of central Brazil;Silva, N., Duarte, M., Arajo, E., Morais, H. (2014). Larval Biology of Anthophagous Eumaeini (Lepidoptera Lycaenidae, Theclinae) in the Cerrado of Central Brazil. Journal of Insect Science, 14, 
Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Review of the Neotropical species of the family Pterophoridae, part I Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera);Alipanah, H., Sari, A., Sarafrazi, A., Gielis, C., Manzari, S. (2010). Key to the genera of Oxyptilini (Lepidoptera Pterophoridae Pterophorinae), with descriptions of two new genera. Zootaxa, 2693, 
Heinrich, C. (1956). Checklist of American Phycitinae. Bulletin of the United States National Museum. 207: 316–329;Checklist of American Phycitinae;Morgan, P., Borroff, E., Clark, J. (1994). American Operas A Checklist. Notes, 50, 1453
Chutia, B., Nath, C. and Kakati, L. (2016). Conservation strategies of Actias selene Hubner: A wild silk moth in Nagaland, India. Environment Conservation Journal. 17(1): 41-45;Conservation strategies of Actias selene Hubner A wild silk moth in Nagaland, India;, ., Chutia, B., Nath, C., , ., Kakati, L., , . (2016). Conservation strategies of Actias selene Hubner A wild silk moth in Nagaland, India. Environment Conservation Journal, 17, 41-45
Ramzan, M., Naeem-Ullah, U., Sial, M., Iqbal, N. and Saeed, S. (2021). Distribution, biology and management strategies about a less studied insect pest (Trilocha varians) of Ficus: a review. Pakistan Journal of Agricultural Research. 34(3): 638-642;Distribution, biology and management strategies about a less studied insect pest (Trilocha varians) of Ficus a review;Ramzan, M., Ullah, U., Sial, M., Iqbal, N., Saeed, S. (2021). Distribution, Biology and Management Strategies about a Less Studied Insect Pest (Trilocha varians) of Ficus A Review. Pakistan Journal of Agricultural Research, 34, 
Lok, A., Ang, W., Tan, H., Corlett, T. and Tan, P. (Eds.) (2012). The Native Fauna of the Native Garden at Hortpark: Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies. Raffles Museum of Biodiversity Research, National University of Singapore and Centre for Urban Greenery and Ecology, National Parks Board. Singapore.;The Native Fauna of the Native Garden at Hortpark Birds, Fishes, Amphibians, Reptiles, Butterflies, Moths, Damselflies and Dragonflies;Ozon, R. (1972). ANDROGENS IN FISHES, AMPHIBIANS, REPTILES, AND BIRDS. Steroids in Nonmammalian Vertebrates, , 328-389
Ong, S. and Farid, A. (2015) Defoliators Of Sesenduii Endospermum Diadenum. FRIM Technical Information. 75: 1-3;;
Moore, F. and Swinhoe, C. (1900). Lepidoptera Indica - Volume IV - Rhopalocera. Lovell Reeve and Co. Limited. United Kingdom, London.;Lepidoptera Indica - Volume IV - Rhopalocera;Heron, F. (1909). Lepidoptera Rhopalocera. The Transactions of the Zoological Society of London, 19, 141-178
Holloway, J. (2024). Moths of Borneo 12. Family Notuidae, Trifine. Subfamilies: Noctuinae, Heliothinae, Hadeninae, Acronictinae, Amphipyrinae, Agaristinae. Southdene Sdn. Available at: https://www.mothsofborneo.com/part-12/index.htm;Moths of Borneo 12;Corley, M. (2024). 12. Moths (Lepidoptera). The Natural History of Blenheims High Park, , 184-201
Pittaway, A. and Kitching, I. (2024). Sphingidae of the Eastern Palaearctic (including Siberia, the Russian Far East, Mongolia, China, Taiwan, the Korean Peninsula and Japan). Available at: https://tpittaway.tripod.com/china/china.htm;Sphingidae of the Eastern Palaearctic (including Siberia, the Russian Far East, Mongolia, China, Taiwan, the Korean Peninsula and Japan);Painter, J. (2021). East Asia (China, Hong Kong, Japan, Korea, Mongolia, Taiwan). Handbook for History Teachers, , 632-642
Hanif, H., Khan, S., Khan, M. and Raza, M. (2013). First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan. International Journal of Fauna and Biological Studies. 3(2): 10-13;First record of Deilephila elpenor L. moth from Chakwal Punjab Pakistan;, . (2019). Deilephila elpenor (large elephant hawkmoth). CABI Compendium, , 
Smith, K. (1956). The occurrence and distribution of Aphomia gularis (Zell.)(Lep., Galleriidae), a pest of stored products. Bulletin of entomological research. 47(4): 655-667;The occurrence and distribution of Aphomia gularis (Zell.)(Lep., Galleriidae), a pest of stored products;
EFSA Panel on Plant Health (PLH), Bragard, C., Baptista, P., Chatzivassiliou, E., Di Serio, F., Gonthier, P., ... and MacLeod, A. (2024). Pest categorisation of Monema flavescens. EFSA Journal. 22(7): e8831;Pest categorisation of Monema flavescens;, ., Bragard, C., Baptista, P., Chatzivassiliou, E., DiSerio, F., Gonthier, P., JaquesMiret, J., Justesen, A., Magnusson, C., Milonas, P., NavasCortes, J., Parnell, S., Potting, R., Reignault, P., Stefani, E., Thulke, H., VanDerWerf, W., Vicent Civera, A., Yuen, J., Zappal, L., Grgoire, J., Malumphy, C., Gobbi, A., Golic, D., Kertesz, V., Sfyra, O., Macleod, A. (2024). Pest categorisation of Monema flavescens. EFSA Journal, 22, 
Gilligan, T. and Epstein, M. (2012). TortAI, Tortricids of Agricultural Importance to the United States (Lepidoptera: Tortricidae). Identification Technology Program (ITP), USDA/APHIS/PPQ/CPHST, Fort Collins, CO. [accessed at https://idtools.org/id/tortai/index.html].;TortAI, Tortricids of Agricultural Importance to the United States (Lepidoptera Tortricidae);Heppner, J., Bae, Y. (2025). Thaumatographa tortricids in Vietnam (Lepidoptera, Tortricidae, Chlidanotinae, Hilarographini). Zootaxa, 5609, 375-389
Department for Environment, Food and Rural Affairs (2025). UK Plant Health Risk Register - UK Risk Register Details for Acleris senescens. Avilable at: https://planthealthportal.defra.gov.uk/pests-and-diseases/uk-plant-health-risk-register/viewPestRisks.cfm?cslref=29507;UK Plant Health Risk Register - UK Risk Register Details for Acleris senescens;Studholme, D., Oteng Amoako, C., Okolie, E. (2025). Complete genome sequences of bacterial pathogens in the UK Plant Health Risk Register. , , 
Otvos, I. and Fajrajsl, A. (1997). An annotated bibliography of Acleris variana and Acleris gloverana (371). Pacific Forest Centre, Canadian Forest Service, National Resources Canada;An annotated bibliography of Acleris variana and Acleris gloverana (371);, . (2019). Acleris variana (hemlock budworm). CABI Compendium, , 
Allyson, S. (1980). Last-instar larva of the gooseberry fruitworm, Zophodia convolutella (Lepidoptera: Pyralidae: Phycitinae). The Canadian Entomologist, 112(1): 43-45;Last-instar larva of the gooseberry fruitworm, Zophodia convolutella (Lepidoptera Pyralidae Phycitinae);Allyson, S. (1980). LAST-INSTAR LARVA OF THE GOOSEBERRY FRUITWORM, iZOPHODIA CONVOLUTELLAi (LEPIDOPTERA PYRALIDAE PHYCITINAE). The Canadian Entomologist, 112, 43-45
EFSA Panel on Plant Health (EFSA PLH Panel), Bragard, C., Dehnen-Schmutz, K., Di Serio, F., Gonthier, P., Jacques, M., ... and Milonas, P. (2019). Pest categorisation of non-EU Choristoneura spp. EFSA Journal, 17(5): e05671;Pest categorisation of non-EU Choristoneura spp;, ., Bragard, C., DehnenSchmutz, K., Di Serio, F., Gonthier, P., Jacques, M., Jaques Miret, J., Fejer Justesen, A., Macleod, A., Magnusson, C., NavasCortes, J., Parnell, S., Potting, R., Reignault, P., Thulke, H., Van Der Werf, W., Vicent Civera, A., Yuen, J., Zappal, L., Grgoire, J., Kertsz, V., Milonas, P. (2019). Pest categorisation of nonEU Choristoneura spp.. EFSA Journal, 17, 
Anderson, D. and Sturtevant, B. (2011). Pattern analysis of eastern spruce budworm Choristoneura fumiferana dispersal. Ecography, 34(3): 488-497;Pattern analysis of eastern spruce budworm Choristoneura fumiferana dispersal;Anderson, D., Sturtevant, B. (2010). Pattern analysis of eastern spruce budworm Choristoneura fumiferana dispersal. Ecography, 34, 488-497
Dang, P. (1992). Morphological study of male genitalia with phylogenetic inference of Choristoneura Lederer (Lepidoptera: Tortricidae). The Canadian Entomologist, 124(1): 7-48;Morphological study of male genitalia with phylogenetic inference of Choristoneura Lederer (Lepidoptera Tortricidae);Dang, P. (1992). MORPHOLOGICAL STUDY OF MALE GENITALIA WITH PHYLOGENETIC INFERENCE OF iCHORISTONEURAi LEDERER (LEPIDOPTERA TORTRICIDAE). The Canadian Entomologist, 124, 7-48
Walker, A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species 2020: e.T173004714A173004732.;Antheraea polyphemus;, . (2019). Antheraea polyphemus (polyphemus moth). CABI Compendium, , 
Braun, A. (1908). Revision of the North American species of the genus Lithocolletis Hubner. Biological Laboratory of the University of Cincinnati. Cincinnati, United States of America.;Revision of the North American species of the genus Lithocolletis Hubner;Braun, A. (1908). Revision of the North American species of the genus Lithocolletis Hbner  by Annette F. Braun.. , , 
Gilligan, T. and Brown, J. (2014). A new name for the western spruce budworm (Lepidoptera: Tortricidae)?. The Canadian Entomologist. 146(6): 583-589;A new name for the western spruce budworm (Lepidoptera Tortricidae);Gilligan, T., Brown, J. (2014). A new name for the western spruce budworm (Lepidoptera Tortricidae). The Canadian Entomologist, 146, 583-589
Winder, J. (1976). Ecology and control of Erinnyis ello and E. alope, important insect pests in the New World. PANS. 22(4): 449-466;Ecology and control of Erinnyis ello and E. alope, important insect pests in the New World;Winder, J. (1976). Ecology and Control of iErinnyis elloi and iE. alopei, Important Insect Pests in the New World. PANS, 22, 449-466
Borkent, C. and Greenway, L. (1997). Sphinx Moths (Family Sphingidae) In British Columbia: Biological Notes and Field Key, Based on Specimens in the Collection at the Royal British Columbia Museum. Royal British Columbia Museum, forest renewal BC Report.;Sphinx Moths (Family Sphingidae) In British Columbia Biological Notes and Field Key, Based on Specimens in the Collection at the Royal British Columbia Museum;Campbell, C. (2004). Modern History Gallery, Royal British Columbia Museum. The Public Historian, 26, 108-111
Powell, J. and Opler, P. (2009). Moths of western North America. University of California Press. Berkeley, California, United States of America. 516pp;Moths of western North America;Powell, J. (2009). Moths of Western North America. , , 
Cooley, T. and Reardon, R. (2022). Field Guide to the Slug Moths (Lepidoptera: Limacodidae) of West Virginia. Forest Service U.S. Department of Agriculture. 84pp;Field Guide to the Slug Moths (Lepidoptera Limacodidae) of West Virginia;Heppner, J., Richman, D., Naranjo, S., Habeck, D., Asaro, C., Boev, J., Baumgrtner, J., Schneider, D., Lambdin, P., Cave, R., Ratcliffe, B., Heppner, J., Baldwin, R., Scherer, C., Frank, J., Dunford, J., Somma, L., Richman, D., Krafsur, E., Crooker, A., Heppner, J., Capinera, J., Menalled, F., Liebman, M., Capinera, J., Teal, P., Hoy, M., Lloyd, J., Sivinski, J., Cranshaw, W., Heppner, J., Heppner, J., Adler, P., Heppner, J., Tsai, J., Lawrence, P., Zaspel, J., Heppner, J., Capinera, J., Heppner, J., Liburd, O., Sarzynski, E., Panizzi, A., Ellis, J., Ellis, A., Headings, M., Panizzi, A., Scotti, P., Christian, P., Stange, L., Heppner, J., Heppner, J., Baldwin, R., Meer, R., Preston, C., Otis, G., Noling, J., Hoy, M., Bouicas, D., Sanborn, A., Panizzi, A., Ragsdale, D., Heppner, J., Rossi, A., Branham, M., Sourakov, A., Amalin, D., Cushing, P., Clercq, P., Peck, D., Thompson, V., Bowles, D., Capinera, J., Nealis, V., Capinera, J., Cilek, J., Klassen, W., Tilgner, E., Costas, M., Vzquez, ., Panizzi, A., Rey, J., Kondratieff, B., Haunerland, N., Hahn, D., Lord, J., Kathirithamby, J., Showler, A., Scheffrahn, R., Meagher, R., Gallo, M., Hunter, F., Heppner, J., Heppner, J., Heppner, J., Gerling, D., Jolivet, P., Capinera, J., Moriya, S., Hoy, M., Hou, R., Lawrence, P., Burden, B., Zhu, K., Hangay, G. (2008). Slug Caterpillar Moths (Lepidoptera Limacodidae). Encyclopedia of Entomology, , 3390-3391
Taft, W., Smitley, D. and Snow, J. (1991). A guide to the clearwing borers (Sesiidae) of the north central United States. North Central Regional Publication. 394: 1-30;A guide to the clearwing borers (Sesiidae) of the north central United States;Warner, J., Hay, S. (1985). OBSERVATIONS, MONITORING, AND CONTROL OF CLEARWING BORERS (LEPIDOPTERA SESIIDAE) ON APPLE IN CENTRAL ONTARIO. The Canadian Entomologist, 117, 1471-1478
Jie, L., Yang, J. and Li, W. (2020). Potential distribution analysis of an invasive alien species Parapediasia teterrella (Lepidoptera, Crambidae) in East Asia. Journal of Asia-Pacific Entomology. 23(1): 219-223;Potential distribution analysis of an invasive alien species Parapediasia teterrella (Lepidoptera, Crambidae) in East Asia;Jie, L., Yang, J., Li, W. (2020). Potential distribution analysis of an invasive alien species Parapediasia teterrella (Lepidoptera, Crambidae) in East Asia. Journal of Asia-Pacific Entomology, 23, 219-223
Handfield, L. and Handfield, D. (2021). A revision of the Canadian species of the Genus Herpetogramma Lederer, 1863 (Lepidoptera: Crambidae: Spilomelinae: Herpetogrammatini), with descriptions of three new species. Bonn zoological Bulletin. 70(1): 173-199;A revision of the Canadian species of the Genus Herpetogramma Lederer, 1863 (Lepidoptera Crambidae Spilomelinae Herpetogrammatini), with descriptions of three new species;Lu, X., Wan, J., Du, X. (2019). Three new species of Herpetogramma Lederer (Lepidoptera, Crambidae) from China. ZooKeys, 865, 67-85
Warren, L. and Tadic, M. (1967). The Fall Webworm, Hyphantria cunea, Its Distribution and Natural Enemies: A World List (Lepidoptera: Arctiidae). Journal of the Kansas Entomological Society. 40(2): 194–202;The Fall Webworm, Hyphantria cunea, Its Distribution and Natural Enemies A World List (Lepidoptera Arctiidae);Sourakov, A., Paris, T. (2011). Fall webworm, Hyphantria cunea (Drury) (Insecta Lepidoptera Arctiidae Arctiinae). EDIS, 2011, 
Matthews, D. and Watkins, R. (2011). Extralimital records of the sage plume moth, Anstenoptilia marmarodactyla (Lepidoptera: Pterophoridae). Southern Lepidopterists News, 33(4), 175-177;Extralimital records of the sage plume moth, Anstenoptilia marmarodactyla (Lepidoptera Pterophoridae);Ustjuzhanin, P., Kovtunovich, V., Ustjuzhanina, A. (2015). A new species of plume moth (Lepidoptera Pterophoridae) from Jordan. Zoology in the Middle East, 61, 166-167
Agassiz, D. (2004). Cypress trees and their moths. British wildlife. 15(4): 265-268;Cypress trees and their moths;Unknown Author (None). Cypress trees.. Sir Lawrence Alma-Tadema Collection Online, , 
Adamski, D. and Brown, R. L. (2022). Larval, pupal, and adult morphology of the acorn moth, Blastobasis glandulella (Riley, 1871)(Lepidoptera: Gelechioidea: Blastobasidae). The Journal of the Lepidopterists Society. 76(1): 10-20;Larval, pupal, and adult morphology of the acorn moth, Blastobasis glandulella (Riley, 1871)(Lepidoptera Gelechioidea Blastobasidae);Adamski, D., Brown, R. (2022). Larval, Pupal, and Adult Morphology of the Acorn Moth, Blastobasis glandulella (Riley, 1871) (Lepidoptera Gelechioidea Blastobasidae). The Journal of the Lepidopterists Society, 76, 
McLeod, J. (1966). Notes on the Biology of a Spruce Needle-miner, Pulicalvaria piceaella (Kearfott)(Lepidoptera: Gelechiidae) 1. The Canadian Entomologist. 98(3): 225-236;Notes on the Biology of a Spruce Needle-miner, Pulicalvaria piceaella (Kearfott)(Lepidoptera Gelechiidae) 1;Mcleod, J. (1966). Notes on the Biology of a Spruce Needle-miner, iPulicalvaria piceaellai (Kearfott) (Lepidoptera Gelechiidae). The Canadian Entomologist, 98, 225-236
Munroe, E. (1975). Biogeography of North American Odontiinae (Lepidoptera: Pyralidae). The Canadian Entomologist. 107(2): 129-154;Biogeography of North American Odontiinae (Lepidoptera Pyralidae);Munroe, E. (1975). BIOGEOGRAPHY OF NORTH AMERICAN ODONTIINAE (LEPIDOPTERA PYRALIDAE). The Canadian Entomologist, 107, 129-154
van Nieukerken, E. and Eiseman, C. (2020). Splitting the leafmining shield-bearer moth genus Antispila Hubner (Lepidoptera, Heliozelidae): North American species with reduced venation placed in Aspilanta new genus, with a review of heliozelid morphology. ZooKeys. 957: 105.;Splitting the leafmining shield-bearer moth genus Antispila Hubner (Lepidoptera, Heliozelidae) North American species with reduced venation placed in Aspilanta new genus, with a review of heliozelid morphology;Van Nieukerken, E., Eiseman, C. (2020). Splitting the leafmining shield-bearer moth genus Antispila Hbner (Lepidoptera, Heliozelidae) North American species with reduced venation placed in Aspilanta new genus, with a review of heliozelid morphology. ZooKeys, 957, 105-161
Goglia, L. (2021). Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems. [PhD Thesis, Universita degli Studi della Tuscia and Universita degli Studi del Molise];Faunistic Notes on Lepidoptera Tortricidae from Calabria (South Italy) - Contribution to the knowledge of the Lepidoptera Tortricidae fauna of Mediterranean ecosystems;Trematerra, P., Goglia, L., Scalercio, S., Colacci, M. (2018). LEPIDOPTERA TORTRICIDAE FROM CALABRIA (SOUTHERN ITALY). Redia, , 167-181
Peterson, M. and Edwards, P. (2016). Beach moth (Anarta edwardsii) recovery strategy: chapter 2. in Recovery Plan for Edwards’ Beach Moth (Anarta edwardsii) in British Columbia. B.C. Ministry of Environment, Victoria, BC. 23 pp.;Beach moth (Anarta edwardsii) recovery strategy chapter 2. in Recovery Plan for Edwards Beach Moth (Anarta edwardsii) in British Columbia;Habeck, D., Mead, F. (1969). Edwards Wasp Moth, Lymire edwardsii (Grote) (Insecta Lepidoptera Arctiidae Ctenuchinae). EDIS, 2004, 
Shaw, T., Paula-Moraes, S., Hahn, P. and Specht, A. (2021). Seasonal flight patterns of Chrysodeixis includens (Lepidoptera: Noctuidae) in the Florida panhandle and inventory of plusiine species cross-attracted to synthetic pheromone. Journal of Economic Entomology. 114(6): 2315-2325;Seasonal flight patterns of Chrysodeixis includens (Lepidoptera Noctuidae) in the Florida panhandle and inventory of plusiine species cross-attracted to synthetic pheromone;Shaw, T., Paula-Moraes, S., Hahn, P., Specht, A. (2021). Seasonal Flight Patterns of iChrysodeixis includensi (Lepidoptera Noctuidae) in the Florida Panhandle and Inventory of Plusiine Species Cross-Attracted to Synthetic Pheromone. Journal of Economic Entomology, 114, 2315-2325
Zhao, H., Xian, X., Zhao, Z., Zhang, G., Liu, W. and Wan, F. (2020). Climate Change Increases the Expansion Risk of Helicoverpa zea in China According to Potential Geographical Distribution Estimation. Insects. 13: 79;Climate Change Increases the Expansion Risk of Helicoverpa zea in China According to Potential Geographical Distribution Estimation;Zhao, H., Xian, X., Zhao, Z., Zhang, G., Liu, W., Wan, F. (2022). Climate Change Increases the Expansion Risk of Helicoverpa zea in China According to Potential Geographical Distribution Estimation. Insects, 13, 79
Koch, C. and Waterhouse, D. (2000). The distribution and importance of arthropods associated with agriculture and forestry in Chile. Australian Centre for International Agricultural Research (ACIR). ACIR Monographs. Australia, Canberra. 234pp.;The distribution and importance of arthropods associated with agriculture and forestry in Chile;, ., Pizarro-Araya, J., , ., Alfaro, F., Muoz-Rivera, R., , ., Barriga-Tun, J., , ., Letelier, L., , ., , . (2019). Arthropods of forestry and medical-veterinary importance in the Limar basin (Coquimbo region, Chile). Ciencia e investigacin agraria, 46, 40-49
Vargas, H. (2012). Strepsicrates smithiana Walsingham (Lepidoptera, Tortricidae): first record from Chile and a newly documented host plant. Revista Brasileira de Entomologia. 56, 381-382;Strepsicrates smithiana Walsingham (Lepidoptera, Tortricidae) first record from Chile and a newly documented host plant;Vargas, H. (2012). Strepsicrates smithiana Walsingham (Lepidoptera, Tortricidae) first record from Chile and a newly documented host plant. Revista Brasileira de Entomologia, 56, 381-382
EFSA Panel on Plant Health (PLH), Bragard, C., Dehnen-Schmutz, K., Di Serio, F., Gonthier, P., Jacques, M., ... and MacLeod, A. (2018). Pest categorisation of Acrobasis pirivorella. EFSA Journal, 16(10), e05440.;Pest categorisation of Acrobasis pirivorella;, ., Bragard, C., DehnenSchmutz, K., Di Serio, F., Gonthier, P., Jacques, M., Jaques Miret, J., Justesen, A., Magnusson, C., Milonas, P., NavasCortes, J., Parnell, S., Potting, R., Reignault, P., Thulke, H., Van Der Werf, W., Vicent Civera, A., Yuen, J., Zappal, L., Czwienczek, E., Bali, E., Macleod, A. (2018). Pest categorisation of Acrobasispirivorella. EFSA Journal, 16, 
Huang, H. and Chen, Z. (2006) A new species of Tongeia Tutt, [1908] from Northeast Yunnan, China. Atalanta, 37(1) : 184-190;;
Liu, X., Wang, D., Yang, Z., Zhou, H., Zhao, Q. and Fan, T. (2019). Bright silver brilliancy from irregular microstructures in butterfly Curetis acuta moore. Advanced Optical Materials, 7(18): 1900687;Bright silver brilliancy from irregular microstructures in butterfly Curetis acuta moore;Liu, X., Wang, D., Yang, Z., Zhou, H., Zhao, Q., Fan, T. (2019). Bright Silver Brilliancy from Irregular Microstructures in Butterfly iCuretis acutai Moore. Advanced Optical Materials, 7, 
Sihvonen, P. (2005). Check-list of Chinese Scopula Schrank species and an analysis of species diversity (Lepidoptera: Geometridae: Sterrhinae). Journal of Asia-Pacific Entomology, 8(1): 29-36;Check-list of Chinese Scopula Schrank species and an analysis of species diversity (Lepidoptera Geometridae Sterrhinae);
Qi, M., Park, B., Han, H. and Bae, Y. (2014). Taxonomic Review on the Genus Sciota (Lepidoptera, Pyralidae, Phycitinae) in Northeast China. Animal Systematics, Evolution and Diversity, 30(2): 59-64;Taxonomic Review on the Genus Sciota (Lepidoptera, Pyralidae, Phycitinae) in Northeast China;Qi, M., Park, B., Han, H., Bae, Y. (2014). Taxonomic Review on the Genus Sciota (Lepidoptera, Pyralidae, Phycitinae) in Northeast China. Animal Systematics, Evolution and Diversity, 30, 59-64
Department for Environment, Food and Rural Affairs (2025). UK Plant Health Risk Register - UK Risk Register Details for Acleris issikii. Avilable at: https://planthealthportal.defra.gov.uk/pests-and-diseases/uk-plant-health-risk-register/viewPestRisks.cfm?cslref=29503;UK Plant Health Risk Register - UK Risk Register Details for Acleris issikii;Studholme, D., Oteng Amoako, C., Okolie, E. (2025). Complete genome sequences of bacterial pathogens in the UK Plant Health Risk Register. , , 
Zhang, A. and Li, H. (2005). Catalogue of Eucosmini from China (Lepidoptera: Tortricidae) SHILAP Revista de Lepidopterologia. 33(131): 265-298;Catalogue of Eucosmini from China (Lepidoptera Tortricidae) SHILAP Revista de Lepidopterologia. 33(131) 265-298;Gilligan, T., Wright, D. (2013). Revised world catalogue of Eucopina, Eucosma, Pelochrista, and Phaneta(Lepidoptera Tortricidae Eucosmini). Zootaxa, 3746, 
Haines, W., Starr, F., Starr, K. and King, W. (2011). A New Record of the Fruit Piercing Moth Oraesia excavata (Butler)(Erebidae: Calpinae: Calpini) for Hawaii and the United States. The Journal of the Lepidopterists Society. 65(1): 53-57;A New Record of the Fruit Piercing Moth Oraesia excavata (Butler)(Erebidae Calpinae Calpini) for Hawaii and the United States;Haines, W., Starr, F., Starr, K., King, W. (2011). A New Record of the Fruit Piercing MothiOraesia excavatai(Butler) (Erebidae Calpinae Calpini) for Hawaii and the United States. Journal of the Lepidopterists Society, 65, 53-57
Park, K. (1991). Gelechiidae (Lepidoptera) from North Korea with description of two new species. Annales historico-naturales Musei Natinonalis Hungarici. 83: 117-123;Gelechiidae (Lepidoptera) from North Korea with description of two new species;Park, K., Koo, J., Yu, T. (2023). Descriptions of two new species of Gelechiidae (Lepidoptera) from Korea. Journal of Asia-Pacific Biodiversity, 16, 332-335
Zhang, A. and Li, H. (2005). Catalogue of Eucosmini from China (Lepidoptera: Tortricidae). SHILAP Revista de lepidopterologia. 33(131): 265-298;Catalogue of Eucosmini from China (Lepidoptera Tortricidae);Gilligan, T., Wright, D. (2013). Revised world catalogue of Eucopina, Eucosma, Pelochrista, and Phaneta(Lepidoptera Tortricidae Eucosmini). Zootaxa, 3746, 
