ReferenceID,BibliographicReference,ReferenceYear
REF55,"""Wagner D. (2009). Ode to Alabama: the meteoric fall of a once extraordinarily abundant moth. American Entomologist 55(3) 170-173""",2009.0
REF56,"""Grote A. (1883). Introduction to a Study of the North American Noctuidae. Proceedings of the American Philosophical Society. 21(114): 134-176""",1883.0
REF57,"""Kravchenko V. et al. (2014). Seven invasive owlet moths (Lepidoptera: Noctuidae) in Israel and their potential parasitoids (Hymenoptera: Chalcidoidea). Phytoparasitica. 42(3): 333-339""",2014.0
REF58,"""Kononenko V. et al. (1998). Illustrated catalogue of Noctuidae in Korea (Lepidoptera). Insect of Korea. Series 3. Korea Research Institute of Bioscience and Biotechnology : Center for Insect Systematics""",1998.0
REF59,"""Kravchenko V. et al. (2004). The Catocalinae (Lepidoptera: Noctuidae) of Israel. Russian Entomological Journal. 13(3): 175-186""",2004.0
REF60,"""Kamar N. et al. (2025). Bioecology and management of a Generalist Semilooper Anomis sabulifera Guenee 1852 (Lepidoptera: Erebidae): a review: A Review on Anomis sabulifera. Journal of Applied Entomologist. 5(3): 14-23""",2025.0
REF61,"""Gielis C. (2006). Review of the Neotropical species of the family Pterophoridae part I: Ochyroticinae Deuterocopinae Pterophorinae (Platyptiliini Exelastini Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290""",2006.0
REF62,"""Peigler R. Naumann S. (2016) What exactly is Antheraea paphia (Linnaeus 1758)? (Lepidoptera Saturnidae). Atalanta. 47(3): 500-520""",2016.0
REF63,"""Li W. et al. (2017). Antheraea pernyi (Lepidoptera: Saturniidae) and its importance in sericulture food consumption and traditional Chinese medicine. Journal of Economic Entomology. 110(4): 1404-141""",2017.0
REF64,"""Walker A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species. 2020: e.T173004714A173004732""",2020.0
REF65,"""Nahirnic A. Stoyan B. (2015). The first report of Japanese oak silkmoth Antheraea yamamai (Guerin-Meneville 1861)(Lepidoptera: Saturniidae) in Montenegro. ZooNotes. 82: 1-4""",2015.0
REF66,"""Kundu S. et al. (2012) Nonmulberry silk biopolymers. Biopolymers. 97: 455-467""",2012.0
REF67,"""Budashkin Y. Li H. (2009). Study on Chinese Acrolepiidae and Choreutidae (Insecta: Lepidoptera). SHILAP Revista de lepidopterologia. 37(146): 179-189""",2009.0
REF68,"""de Prins W. et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32""",2014.0
REF69,"""Morais E. et al. (2012). Lepidopterans as potential agents for the biological control of the invasive plant Miconia calvescens. Journal of Insect Science. 12(1): 63""",2012.0
REF70,"""Gernaat H. (2016). Notes on the early stages of Antichloris eriphia (Erebidae: Arctiinae) in Suriname. The Journal of the Lepidopterists Society. 70(4): 311-314""",2016.0
REF71,"""Field W. (1975). Ctenuchid moths of Ceramidia Butler Ceramidiodes Hampson and the caca species group of Antichloris Hubner. Smithsonian Contributions to Zoology. 198: 45pp""",1975.0
REF72,"""OConnor J. Nash R. (1986). Insects imported into Ireland 8. Records of Hemiptera Coleoptera Diptera and Lepidoptera. The Irish Naturalists Journal. 22(3): 104-107""",1986.0
REF73,"""Sarazu-Pillado R. et al. (2024). Parasitoid wasps associated with Antigastra catalaunalis (Lepidoptera Crambidae) in Northern Sinaloa Mexico. Journal of Hymenoptera Research. 97: 741-754""",2024.0
REF74,"""Sarazu-Pillado R. et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa Mexico. Southwestern Entomologist. 45(2): 575-578""",2020.0
REF75,"""van Nieukerken E. Eiseman C. (2020). Splitting the leafmining shield-bearer moth genus Antispila Hubner (Lepidoptera Heliozelidae): North American species with reduced venation placed in Aspilanta new genus with a review of heliozelid morphology. ZooKeys. 957: 105""",2020.0
