;Species;Continent;Realm;Cosmopolitan;Reference Year;Reference;AcceptedSpecies
69;Eustixia pupula;North America;Nearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Eustixia pupula
70;Lithophane leautieri;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Lithophane leautieri
71;Haplotinea insectella;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Haplotinea insectella
72;Eurranthis plummistaria;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Eurranthis plummistaria
73;Eupithecia carpophagata;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Eupithecia carpophagata
74;Haplotinea ditella;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Haplotinea ditella
75;Zelleria oleastrella;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Zelleria oleastrella
76;Haplotinea insectella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Haplotinea insectella
77;Eurranthis plummistaria;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Eurranthis plummistaria
78;Eupithecia carpophagata;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Eupithecia carpophagata
79;Haplotinea ditella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Haplotinea ditella
80;Zelleria oleastrella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Zelleria oleastrella
81;Prays oleae;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Prays oleae
82;Stigmella centifoliella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Stigmella centifoliella
83;Stigmella atricapitella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Stigmella atricapitella
84;Platyedra subcinerea;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Platyedra subcinerea
85;Spoladea recurvalis;South America;Neotropical;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Spoladea recurvalis
86;Prays oleae;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Prays oleae
87;Lithophane leautieri;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Lithophane leautieri
88;Ethmia terminella;Africa;Saharo-Arabian;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Ethmia terminella
89;Peribatodes perversaria;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Peribatodes perversaria
90;Ethmia terminella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Ethmia terminella
91;Synanthedon andrenaeformis;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Synanthedon andrenaeformis
92;Phyllonorycter joannisi;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Phyllonorycter joannisi
93;Macaria liturata;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Macaria liturata
94;Phyllonorycter geniculella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Phyllonorycter geniculella
95;Pennisetia hylaeiformis;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Pennisetia hylaeiformis
96;Phyllonorycter messaniella;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Phyllonorycter messaniella
97;Cydia illutana;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Cydia illutana
98;Clavigesta sylvestrana;Europe;Palearctic;0;2010;Lopez-Vaamonde, C., Agassiz, D., Augustin, S., De Prins, J., De Prins, W., Gomboc, S., ... and Lees, D. (2010). Lepidoptera. Chapter 11. BioRisk 4: 603-668;Clavigesta sylvestrana
