;Species;Continent;Realm;Cosmopolitan;Reference Year;Reference;AcceptedSpecies
3018;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3019;Hypena commixtalis;Africa;Afrotropical;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3020;Hypena strigatus;Asia;Palearctic;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3021;Hypena strigatus;Africa;Madagascan;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3022;Hypena commixtalis;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3023;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3024;Hypena strigatus;Asia;Palearctic;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3025;Hypena commixtalis;Asia;Saharo-Arabian;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3026;Hypena strigatus;Asia;Saharo-Arabian;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3027;Hypena commixtalis;Oceania;Oceanina;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3028;Hypena commixtalis;Asia;Palearctic;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3029;Hypena strigatus;Africa;Afrotropical;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3030;Hypena strigatus;Asia;Sino-Japanese;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3031;Hypena strigatus;Asia;Palearctic;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3032;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3033;Hypena strigatus;Asia;Sino-Japanese;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3034;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3035;Hypena commixtalis;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3036;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3037;Hypena commixtalis;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena commixtalis
3038;Hypena strigatus;Asia;Oriental;0;2013;Kononenko, V. and Pinratana, A. (2013). Moths of Thailand. Noctuoidea. An illustrated Catalogue of Erebidae, Nolidae, Euteliidae and Noctuidae (Insecta, Lepidoptera) in Thailand. Brothers of St. Gabriel in Thailand. Bangkok.;Hypena strigatus
3039;Hypena opulenta;Europe;Palearctic;0;2020;Karn, R., Paudel, A. and Pandey, S. (2020). Hypena opulenta: a biological weed control agent for controlling an invasive weed species, swallow-wort: a review. Environment Contaminants Review. 3(1): 1-3;Hypena opulenta
3040;Hypsopygia costalis;Asia;Palearctic;0;2005;Pohl, G., Bird, C., Landry, J. and Anweiler, G. (2005). New records of microlepidoptera in Alberta, Canada. Journal of the Lepidopterists Society. 59(2): 61;Hypsopygia costalis
3041;Hypsopygia costalis;Europe;Palearctic;0;2005;Pohl, G., Bird, C., Landry, J. and Anweiler, G. (2005). New records of microlepidoptera in Alberta, Canada. Journal of the Lepidopterists Society. 59(2): 61;Hypsopygia costalis
3042;Chaliopsis junodi;Africa;Afrotropical;0;1971;Bosman, T. and Brand, J. (1971). Biological studies of the sex pheromone of Kotochalia junodi Heyl.(Lepidoptera: Psychidae) and its partial purification. Journal of the Entomological Society of Southern Africa. 34(1): 73-78;Chaliopsis junodi
3043;Chaliopsis junodi;Africa;Afrotropical;0;1971;Austara, O. and Jones, T. (1971). Host list and distribution of lepidopterous defoliators of exotic softwoods in East Africa. East African Agricultural and Forestry Journal. 36(4): 401-413;Chaliopsis junodi
3044;Lantanophaga pusillidactylus;North America;Panamanian;0;2020;Demetriou, J., Kazilas, C., Koutsoukos, E. and Kalaentzis, K. (2020). ? new tropical invader in Greece: The lantana plume moth Lantanophaga pusillidactylus (Lepidoptera: Pterophoridae). Entomologia Hellenica. 29(1): 1-7;Lantanophaga pusillidactylus
3045;Lantanophaga pusillidactylus;South America;Neotropical;0;2020;Demetriou, J., Kazilas, C., Koutsoukos, E. and Kalaentzis, K. (2020). ? new tropical invader in Greece: The lantana plume moth Lantanophaga pusillidactylus (Lepidoptera: Pterophoridae). Entomologia Hellenica. 29(1): 1-7;Lantanophaga pusillidactylus
3046;Lantanophaga pusillidactylus;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3047;Lantanophaga pusillidactylus;North America;Panamanian;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3048;Lantanophaga pusillidactylus;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3049;Lantanophaga pusillidactylus;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3050;Lantanophaga pusillidactylus;North America;Panamanian;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3051;Lantanophaga pusillidactylus;North America;Nearctic;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3052;Stenoptilodes brevipennis;North America;Nearctic;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Stenoptilodes brevipennis
3053;Stenoptilodes brevipennis;North America;Panamanian;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Stenoptilodes brevipennis
3054;Stenoptilodes brevipennis;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Stenoptilodes brevipennis
3055;Lantanophaga pusillidactylus;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3056;Lantanophaga pusillidactylus;South America;Neotropical;0;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290;Lantanophaga pusillidactylus
3057;Lateroligia ophiogramma;Europe;Palearctic;0;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
3058;Lateroligia ophiogramma;Asia;Sino-Japanese;0;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
3059;Lateroligia ophiogramma;Asia;Palearctic;0;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
3060;Lateroligia ophiogramma;Europe;Palearctic;0;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
3061;Lateroligia ophiogramma;Europe;Palearctic;0;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7:102-104;Lateroligia ophiogramma
3062;Lateroligia ophiogramma;Asia;Sino-Japanese;0;2020;Crabo, L. and Holden, D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America, with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae, Noctuinae, Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105;Lateroligia ophiogramma
3063;Lateroligia ophiogramma;Asia;Palearctic;0;2020;Crabo, L. and Holden, D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America, with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae, Noctuinae, Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105;Lateroligia ophiogramma
3064;Antheraea paphia;Asia;Oriental;0;2016;Peigler, R. and Naumann, S. (2016) What exactly is Antheraea paphia (Linnaeus, 1758)? (Lepidoptera, Saturnidae). Atalanta. 47(3): 500-520;Antheraea paphia
3065;Antheraea paphia;Asia;Oriental;0;2016;Peigler, R. and Naumann, S. (2016) What exactly is Antheraea paphia (Linnaeus, 1758)? (Lepidoptera, Saturnidae). Atalanta. 47(3): 500-520;Antheraea paphia
3066;Antheraea paphia;Asia;Sino-Japanese;0;2016;Peigler, R. and Naumann, S. (2016) What exactly is Antheraea paphia (Linnaeus, 1758)? (Lepidoptera, Saturnidae). Atalanta. 47(3): 500-520;Antheraea paphia
3067;Antheraea polyphemus;North America;Nearctic;0;2020;Walker, A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species 2020: e.T173004714A173004732.;Antheraea polyphemus
3068;Antheraea polyphemus;North America;Nearctic;0;2020;Walker, A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species 2020: e.T173004714A173004732.;Antheraea polyphemus
3069;Antheraea polyphemus;Oceania;Nearctic;0;2020;Walker, A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species 2020: e.T173004714A173004732.;Antheraea polyphemus
3070;Antheraea polyphemus;North America;Nearctic;0;2020;Walker, A. (2020). Antheraea polyphemus. The IUCN Red List of Threatened Species 2020: e.T173004714A173004732.;Antheraea polyphemus
3071;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3072;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3073;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3074;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3075;Anthophila nemorana;Asia;Sino-Japanese;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3076;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3077;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3078;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3079;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3080;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3081;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3082;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3083;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3084;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3085;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3086;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3087;Anthophila nemorana;Africa;Saharo-Arabian;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3088;Anthophila nemorana;Africa;Saharo-Arabian;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3089;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3090;Anthophila nemorana;Europe;Saharo-Arabian;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3091;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3092;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3093;Anthophila nemorana;Asia;Saharo-Arabian;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3094;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3095;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3096;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3097;Anthophila nemorana;Asia;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3098;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3099;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3100;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3101;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3102;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3103;Anthophila nemorana;Asia;Saharo-Arabian;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3104;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3105;Anthophila nemorana;Africa;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3106;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3107;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3108;Anthophila nemorana;Europe;Palearctic;0;2014;de Prins, W., Baugnee, J., Georis, A., Spronck, R. and Spronck, R. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;Anthophila nemorana
3109;Apopestes spectrum;Africa;Saharo-Arabian;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3110;Apopestes spectrum;Asia;Palearctic;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3111;Apopestes spectrum;Asia;Palearctic;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3112;Apopestes spectrum;Asia;Saharo-Arabian;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3113;Apopestes spectrum;Asia;Saharo-Arabian;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3114;Apopestes spectrum;Africa;Saharo-Arabian;0;2013;Amer, A. (2013). Catocalinae Of Egypt (Lepidoptera, Noctuidae). Al-Azhar Bulletin Of Science. 24(1-C): 1-16;Apopestes spectrum
3115;Apopestes spectrum;Europe;Palearctic;0;2014;Baron, T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia, Turkey. Esperiana Band. 19: 263-296;Apopestes spectrum
3116;Apopestes spectrum;Asia;Palearctic;0;2014;Baron, T. (2014). Collection records of Noctuoidea and Bombycoidea (Lepidoptera) from a location near Marmaris in South-Western Anatolia, Turkey. Esperiana Band. 19: 263-296;Apopestes spectrum
3117;Aproaerema polychromella;Asia;Palearctic;0;2010;Junnilainen, J., Karsholt, O., Nupponen, K., Kaitila, J., Nupponen, T. and Olschwang, V. (2010). The gelechiid fauna of the southern Ural Mountains, part II: list of recorded species with taxonomic notes (Lepidoptera: Gelechiidae). Zootaxa. 2367(1): 1-68;Aproaerema polychromella
3118;Aproaerema polychromella;Europe;Palearctic;0;2010;Junnilainen, J., Karsholt, O., Nupponen, K., Kaitila, J., Nupponen, T. and Olschwang, V. (2010). The gelechiid fauna of the southern Ural Mountains, part II: list of recorded species with taxonomic notes (Lepidoptera: Gelechiidae). Zootaxa. 2367(1): 1-68;Aproaerema polychromella
3119;Aproaerema polychromella;Asia;Palearctic;0;2010;Junnilainen, J., Karsholt, O., Nupponen, K., Kaitila, J., Nupponen, T. and Olschwang, V. (2010). The gelechiid fauna of the southern Ural Mountains, part II: list of recorded species with taxonomic notes (Lepidoptera: Gelechiidae). Zootaxa. 2367(1): 1-68;Aproaerema polychromella
