Species;AcceptedSpecies;Genus;Family;Butterfly
Marasmia venilialis;Cnaphalocrocis poeyalis;Cnaphalocrocis;Crambidae;0
Melanitis leda;Melanitis leda;Melanitis;Nymphalidae;1
Mythimna loreyi;Leucania loreyi;Leucania;Noctuidae;0
Nymphula fluctuosalis;Parapoynx fluctuosalis;Parapoynx;Crambidae;0
Ostrinia furnacalis;Ostrinia furnacalis;Ostrinia;Crambidae;0
Papilio polytes;Papilio polytes;Papilio;Papilionidae;1
Penicillaria jocosatrix;Penicillaria jocosatrix;Penicillaria;Euteliidae;0
Pericyma cruegeri;Pericyma cruegeri;Pericyma;Erebidae;0
Sphenarches caffer;Sphenarches caffer;Sphenarches;Pterophoridae;0
Susumia exigua;Susumia exigua;Susumia;Crambidae;0
Theretra pinastrina;Theretra silhetensis;Theretra;Sphingidae;0
Abaeis nicippe;Abaeis nicippe;Abaeis;Pieridae;1
Achroia grisella;Achroia grisella;Achroia;Pyralidae;0
Acrolepiopsis sapporensis;Acrolepiopsis sapporensis;Acrolepiopsis;Glyphipterigidae;0
Agonoxena argaula;Agonoxena argaula;Agonoxena;Elachistidae;0
Agraulis vanillae;Dione vanillae;Dione;Nymphalidae;1
Agrius cingulata;Agrius cingulata;Agrius;Sphingidae;0
Alucita objurgatella;Alucita objurgatella;Alucita;Alucitidae;0
Amorbia emigratella;Amorbia emigratella;Amorbia;Tortricidae;0
Amyna axis;Amyna axis;Amyna;Noctuidae;0
Amyna natalis;Amyna natalis;Amyna;Noctuidae;0
Anacamptodes fragilaria;Iridopsis fragilaria;Iridopsis;Geometridae;0
Anarta edwardsii;Anarta edwardsii;Anarta;Noctuidae;0
Anatrachyntis incertulella;Pyroderces incertulella;Pyroderces;Cosmopterigidae;0
Anstenoptilia marmarodactyla;Anstenoptilia marmarodactyla;Anstenoptilia;Pterophoridae;0
Antiblemma acclinalis;Antiblemma acclinalis;Antiblemma;Erebidae;0
Ascalapha odorata;Ascalapha odorata;Ascalapha;Erebidae;0
Assara seminivale;Assara seminivale;Assara;Pyralidae;0
Petrochroa dimorpha;Petrochroa dimorpha;Petrochroa;Elachistidae;0
Aphthonetus triaula;Aphthonetus triaula;Aphthonetus;Cosmopterigidae;0
Ategumia adipalis;Ategumia adipalis;Ategumia;Crambidae;0
Ategumia ebulealis;Ategumia ebulealis;Ategumia;Crambidae;0
Athetis thoracica;Athetis thoracica;Athetis;Noctuidae;0
Autosticha pelodes;Autosticha pelodes;Autosticha;Autostichidae;0
Bactra straminea;Bactra straminea;Bactra;Tortricidae;0
Bactra venosana;Bactra venosana;Bactra;Tortricidae;0
Bedellia orchilella;Bedellia orchilella;Bedellia;Bedelliidae;0
Blastobasis inana;Blastobasis inana;Blastobasis;Blastobasidae;0
Bocana manifestalis;Bocana manifestalis;Bocana;Erebidae;0
Bocchoris fatualis;Bocchoris fatualis;Bocchoris;Crambidae;0
Brachycyttarus griseus;Brachycyttarus griseus;Brachycyttarus;Psychidae;0
Bucculatrix thurberiella;Bucculatrix thurberiella;Bucculatrix;Bucculatricidae;0
Callopistria maillardi;Callopistria maillardi;Callopistria;Noctuidae;0
Caloptilia azaleella;Caloptilia azaleella;Caloptilia;Gracillariidae;0
Caloptilia coruscans;Caloptilia coruscans;Caloptilia;Gracillariidae;0
Caloptilia mabaella;Caloptilia mabaella;Caloptilia;Gracillariidae;0
Batrachedra microstigma;Batrachedra microstigma;Batrachedra;Batrachedridae;0
Dryadaula advena;Dryadaula advena;Dryadaula;Dryadaulidae;0
Condica illecta;Condica illecta;Condica;Noctuidae;0
Crasimorpha infuscata;Crasimorpha infuscata;Crasimorpha;Gelechiidae;0
Cremastobombycia lantanella;Cremastobombycia lantanella;Cremastobombycia;Gracillariidae;0
Acleris zimmermani;Acleris zimmermani;Acleris;Tortricidae;0
Crypsithyrodes concolorella;Crypsithyrodes concolorella;Crypsithyrodes;Tineidae;0
Cryptophlebia illepida;Cryptophlebia illepida;Cryptophlebia;Tortricidae;0
Ctenoplusia albostriata;Ctenoplusia albostriata;Ctenoplusia;Noctuidae;0
Cyclophora nanaria;Cyclophora nanaria;Cyclophora;Geometridae;0
Erechthias flavistriata;Erechthias flavistriata;Erechthias;Tineidae;0
Erechthias kerri;Erechthias kerri;Erechthias;Tineidae;0
Erechthias penicillata;Erechthias penicillata;Erechthias;Tineidae;0
Daphnis nerii;Daphnis nerii;Daphnis;Sphingidae;0
Diastema tigris;Diastema tigris;Diastema;Noctuidae;0
Dichomeris acuminatus;Dichomeris acuminatus;Dichomeris;Gelechiidae;0
Dichomeris aenigmatica;Dichomeris aenigmatica;Dichomeris;Gelechiidae;0
Anarta trifolii;Anarta trifolii;Anarta;Noctuidae;0
Dryadaula terpsichorella;Dryadaula terpsichorella;Dryadaula;Dryadaulidae;0
Apomyelois ceratoniae;Apomyelois ceratoniae;Apomyelois;Pyralidae;0
Elaphria nucicolora;Elaphria nucicolora;Elaphria;Noctuidae;0
Elasmopalpus lignosella;Elasmopalpus lignosella;Elasmopalpus;Pyralidae;0
Leucocosmia nonagrica;Athetis nonagrica;Athetis;Noctuidae;0
Endrosis sarcitrella;Endrosis sarcitrella;Endrosis;Oecophoridae;0
Ephestiodes gilvescentella;Ephestiodes gilvescentella;Ephestiodes;Pyralidae;0
Episimus unguiculus;Episimus unguiculus;Episimus;Tortricidae;0
Erechthias simulans;Erechthias simulans;Erechthias;Tineidae;0
Erechthias zebrina;Erechthias zebrina;Erechthias;Tineidae;0
Ethmia nigroapicella;Ethmia nigroapicella;Ethmia;Ethmiidae;0
Euacidalia brownsvillea;Euacidalia brownsvillea;Euacidalia;Geometridae;0
Eublemma accedens;Eublemma accedens;Eublemma;Noctuidae;0
Eublemma anachoresis;Eublemma anachoresis;Eublemma;Noctuidae;0
Euchromius ocellea;Euchromius ocellea;Euchromius;Crambidae;0
Eudocima phalonia;Eudocima phalonia;Eudocima;Erebidae;0
Feltia subterranea;Feltia subterranea;Feltia;Noctuidae;0
Gymnoscelis rufifasciata;Gymnoscelis rufifasciata;Gymnoscelis;Geometridae;0
Heliothis virescens;Heliothis virescens;Heliothis;Noctuidae;0
Hellula phidilealis;Hellula phidilealis;Hellula;Crambidae;0
Herpetogramma licarsisalis;Herpetogramma licarsisalis;Herpetogramma;Crambidae;0
Hippotion rosetta;Hippotion rosetta;Hippotion;Sphingidae;0
Hylephila phyleus;Hylephila phyleus;Hylephila;Hesperiidae;1
Hyles lineata;Hyles lineata;Hyles;Sphingidae;0
Hypena jussalis;Hypena jussalis;Hypena;Erebidae;0
Hypena laceratalis;Hypena commixtalis;Hypena;Erebidae;0
Hypena strigatus;Hypena strigatus;Hypena;Erebidae;0
Hyperectis dioctias;Hyperectis dioctias;Hyperectis;Crambidae;0
Hypocala deflorata;Hypocala deflorata;Hypocala;Erebidae;0
Hypsopygia mauritialis;Hypsopygia mauritialis;Hypsopygia;Pyralidae;0
Imma mylias;Imma mylias;Imma;Immidae;0
Ithome concolorella;Periploca orichalcella;Periploca;Cosmopterigidae;0
Ithome lassula;Ithome lassula;Ithome;Cosmopterigidae;0
Leucania insecuta;Leucania obsoleta;Leucania;Noctuidae;0
Mythimna loreyimima;Leucania loreyimima;Leucania;Noctuidae;0
Leucania scottii;Leucania scottii;Leucania;Noctuidae;0
Leucania striata;Leucania striata;Leucania;Noctuidae;0
Lindera tessellatella;Lindera tessellatella;Lindera;Tineidae;0
Lineodes ochrea;Lineodes ochrea;Lineodes;Crambidae;0
Lioptilodes parvus;Lioptilodes parvus;Lioptilodes;Pterophoridae;0
Lorita scarificata;Lorita scarificata;Lorita;Tortricidae;0
Lycophotia porphyrea;Lycophotia porphyrea;Lycophotia;Noctuidae;0
Psamatodes abydata;Macaria abydata;Macaria;Geometridae;0
Macroglossum pyrrhosticta;Macroglossum pyrrhosticta;Macroglossum;Sphingidae;0
Megalographa biloba;Megalographa biloba;Megalographa;Noctuidae;0
Melipotis indomita;Melipotis indomita;Melipotis;Erebidae;0
Melitara prodenialis;Melitara prodenialis;Melitara;Pyralidae;0
Mompha trithalama;Mompha trithalama;Mompha;Momphidae;0
Monopis crocicapitella;Monopis crocicapitella;Monopis;Tineidae;0
Monopis meliorella;Monopis meliorella;Monopis;Tineidae;0
Monopis monachella;Monopis monachella;Monopis;Tineidae;0
Nemapogon granella;Nemapogon granella;Nemapogon;Tineidae;0
Neogalea sunia;Neogalea sunia;Neogalea;Noctuidae;0
Niditinea fuscella;Niditinea fuscella;Niditinea;Tineidae;0
Nomophila noctuella;Nomophila noctuella;Nomophila;Crambidae;0
Hellinsia beneficus;Hellinsia beneficus;Hellinsia;Pterophoridae;0
Oinophila v-flava;Oinophila v-flava;Oinophila;Tineidae;0
Omphisa anastomosalis;Omphisa anastomosalis;Omphisa;Crambidae;0
Ophiusa disjungens;Ophiusa disjungens;Ophiusa;Erebidae;0
Opogona aurisquamosa;Opogona aurisquamosa;Opogona;Tineidae;0
Oraesia excavata;Oraesia excavata;Oraesia;Erebidae;0
Pandesma anysa;Pandesma anysa;Pandesma;Erebidae;0
Papilio xuthus;Papilio xuthus;Papilio;Papilionidae;1
Aphomia gularis;Paralipsa gularis;Paralipsa;Pyralidae;0
Parapoynx fluctuosalis;Parapoynx fluctuosalis;Parapoynx;Crambidae;0
Pectinophora scutigera;Pectinophora fusculella;Pectinophora;Gelechiidae;0
Pempelia genistella;Pempelia genistella;Pempelia;Pyralidae;0
Pennisetia marginata;Pennisetia marginatum;Pennisetia;Sesiidae;0
Peridroma saucia;Peridroma saucia;Peridroma;Noctuidae;0
Perittia lonicerae;Perittia lonicerae;Perittia;Elachistidae;0
Phoebis agarithe;Phoebis agarithe;Phoebis;Pieridae;1
Polydesma boarmoides;Polydesma boarmoides;Polydesma;Erebidae;0
Polydesma umbricola;Polydesma umbricola;Polydesma;Erebidae;0
Psilogramma increta;Psilogramma increta;Psilogramma;Sphingidae;0
Pyrausta perelegans;Pyrausta perelegans;Pyrausta;Crambidae;0
Orphanostigma haemorrhoidalis;Salbia haemorrhoidalis;Salbia;Crambidae;0
Scopula personata;Scopula personata;Scopula;Geometridae;0
Galtara extensa;Galtara extensa;Galtara;Erebidae;0
Rhynchopalpus brunella;Rhynchopalpus brunella;Rhynchopalpus;Nolidae;0
Simplicia caeneusalis;Simplicia cornicalis;Simplicia;Erebidae;0
Stenoptilodes littoralis;Stenoptilodes littoralis;Stenoptilodes;Pterophoridae;0
Stenoptilodes taprobanes;Stenoptilodes taprobanes;Stenoptilodes;Pterophoridae;0
Stictoptera cucullioides;Stictoptera cucullioides;Stictoptera;Euteliidae;0
Stoeberhinus testaceus;Stoeberhinus testaceus;Stoeberhinus;Autostichidae;0
Strymon bazochii;Strymon bazochii;Strymon;Lycaenidae;1
Tmolus echion;Tmolus echion;Tmolus;Lycaenidae;1
Elophila obliteralis;Elophila obliteralis;Elophila;Crambidae;0
Targalla delatrix;Targalla delatrix;Targalla;Euteliidae;0
Theretra nessus;Theretra nessus;Theretra;Sphingidae;0
Tinea pellionella;Tinea pellionella;Tinea;Tineidae;0
Anarta decepta;Anarta decepta;Anarta;Noctuidae;0
Trissodoris honorariella;Trissodoris honorariella;Trissodoris;Cosmopterigidae;0
Uresiphita polygonalis;Uresiphita polygonalis;Uresiphita;Crambidae;0
Usingeriessa onyxalis;Usingeriessa onyxalis;Usingeriessa;Crambidae;0
Vanessa atalanta;Vanessa atalanta;Vanessa;Nymphalidae;1
Vanessa cardui;Vanessa cardui;Vanessa;Nymphalidae;1
Vanessa virginiensis;Vanessa virginiensis;Vanessa;Nymphalidae;1
Zizina otis;Zizina otis;Zizina;Lycaenidae;1
Arcte coerula;Arcte coerula;Arcte;Erebidae;0
Pennisetia marginatum;Pennisetia marginatum;Pennisetia;Sesiidae;0
Pseudopyrausta santatalis;Pseudopyrausta santatalis;Pseudopyrausta;Crambidae;0
Coleophora klimeschiella;Coleophora klimeschiella;Coleophora;Coleophoridae;0
Condica dolorosa;Condica dolorosa;Condica;Noctuidae;0
Miresa pallivitta;Oxyplax pallivitta;Oxyplax;Limacodidae;0
Discestra trifolii;Anarta trifolii;Anarta;Noctuidae;0
Episimus utilis;Episimus unguiculus;Episimus;Tortricidae;0
Agrotis subterranea;Agrotis subterranea;Agrotis;Noctuidae;0
Periploca orichalcella;Periploca orichalcella;Periploca;Cosmopterigidae;0
Leucania loreyimima;Leucania stenographa;Leucania;Noctuidae;0
Thessalia theona;Thessalia theona;Thessalia;Nymphalidae;1
Melittia oedipus;Melittia oedipus;Melittia;Sesiidae;0
Paralipsa gularis;Paralipsa gularis;Paralipsa;Pyralidae;0
Swezeyula lonicerae;Perittia lonicerae;Perittia;Elachistidae;0
Salbia haemorrhoidalis;Salbia haemorrhoidalis;Salbia;Crambidae;0
Synclita obliteralis;Synclita obliteralis;Synclita;Crambidae;0
Trichoclea postica;Anarta decepta;Anarta;Noctuidae;0
Zizina oti;Zizina otis;Zizina;Lycaenidae;1
Berresa natalis;Amyna natalis;Amyna;Noctuidae;0
Trichoclea edwardsii;Anarta edwardsii;Anarta;Noctuidae;0
Strymon megarus;Thecla megarus;Thecla;Lycaenidae;1
Acrolepia assectella;Acrolepia assectella;Acrolepia;Glyphipterigidae;0
Argyrogramma verruca;Argyrogramma verruca;Argyrogramma;Noctuidae;0
Choropleca terpsichorella;Dryadaula terpsichorella;Dryadaula;Dryadaulidae;0
Erechthias pelotricha;Erechthias pelotricha;Erechthias;Tineidae;0
Eucosma impatiens;Ancylis impatiens;Ancylis;Tortricidae;0
Hypena strigata;Hypena strigatus;Hypena;Erebidae;0
Iridopsis fragilaria;Iridopsis fragilaria;Iridopsis;Geometridae;0
Lioptilodes albistriolatus;Lioptilodes albistriolatus;Lioptilodes;Pterophoridae;0
Mesophleps palpigera;Mesophleps palpigera;Mesophleps;Gelechiidae;0
Psilogramma menephron;Psilogramma menephron;Psilogramma;Sphingidae;0
Macaria abydata;Macaria abydata;Macaria;Geometridae;0
Stictoptera poecilosoma;Stictoptera poecilosoma;Stictoptera;Euteliidae;0
Trachylepidia fructicassiella;Trachylepidia fructicassiella;Trachylepidia;Pyralidae;0
Nyctemera apicalis;Nyctemera apicalis;Nyctemera;Erebidae;0
Dichomeris acuminata;Dichomeris acuminatus;Dichomeris;Gelechiidae;0
Mythimna obsoleta;Mythimna prominens;Mythimna;Noctuidae;0
Neogalea esula;Neogalea sunia;Neogalea;Noctuidae;0
Selca brunella;Manoba brunellus;Manoba;Nolidae;0
Anstenoptilia marmorodactyla;Anstenoptilia marmorodactyla;Anstenoptilia;Pterophoridae;0
Lantanophaga pusillidactyla;Lantanophaga pusillidactylus;Lantanophaga;Pterophoridae;0
Elasmopalpus lignosellus;Elasmopalpus lignosella;Elasmopalpus;Pyralidae;0
Euchromius ocelleus;Euchromius ocellea;Euchromius;Crambidae;0
Hyposopygia mauritialis;Hypsopygia mauritialis;Hypsopygia;Pyralidae;0
Pseudopyrausta acutangulalis;Pseudopyrausta acutangulalis;Pseudopyrausta;Crambidae;0
Terastia subjectalis;Terastia subjectalis;Terastia;Crambidae;0
Hyalophora euryalus;Hyalophora euryalus;Hyalophora;Saturniidae;0
Macroglossum pyrrhostictum;Macroglossum pyrrhosticta;Macroglossum;Sphingidae;0
Oinophila v-flavum;Oinophila v-flava;Oinophila;Tineidae;0
Coleophora laricella;Coleophora laricella;Coleophora;Coleophoridae;0
Notocelia rosaecolana;Notocelia rosaecolana;Notocelia;Tortricidae;0
Stigmella multispicata;Stigmella multispicata;Stigmella;Nepticulidae;0
Striacosta albicosta;Striacosta albicosta;Striacosta;Noctuidae;0
Gonepteryx rhamni;Gonepteryx rhamni;Gonepteryx;Pieridae;1
Hesperia sylvanus;Ochlodes venata;Ochlodes;Hesperiidae;1
Pontia edusa;Pontia edusa;Pontia;Pieridae;1
Nacoleia octasema;Nacoleia octasema;Nacoleia;Crambidae;0
Phyllonorycter ermani;Phyllonorycter ermani;Phyllonorycter;Gracillariidae;0
Chilo sacchariphagus;Chilo sacchariphagus;Chilo;Crambidae;0
Chrysaster hagicola;Chrysaster hagicola;Chrysaster;Gracillariidae;0
Parornix pfaffenzelleri;Parornix pfaffenzelleri;Parornix;Gracillariidae;0
Apatura ilia;Apatura ilia;Apatura;Nymphalidae;1
Aphantopus hyperantus;Aphantopus hyperantus;Aphantopus;Nymphalidae;1
Clossiana dia;Clossiana dia;Clossiana;Nymphalidae;1
Glaucopsyche alexis;Glaucopsyche alexis;Glaucopsyche;Lycaenidae;1
Hyponephele lycaon;Hyponephele lycaon;Hyponephele;Nymphalidae;1
Lopinga achine;Lopinga achine;Lopinga;Nymphalidae;1
Lycaena dispar;Lycaena dispar;Lycaena;Lycaenidae;1
Nymphalis polychloros;Nymphalis polychloros;Nymphalis;Nymphalidae;1
Nymphalis vaualbum;Polygonia vaualbum;Polygonia;Nymphalidae;1
Phyllocnistis gracilistylella;Phyllocnistis gracilistylella;Phyllocnistis;Gracillariidae;0
Phyllonorycter viciae;Phyllonorycter viciae;Phyllonorycter;Gracillariidae;0
Apatura iris;Apatura iris;Apatura;Nymphalidae;1
Colias croceus;Colias croceus;Colias;Pieridae;1
Limenitis camilla;Limenitis reducta;Limenitis;Nymphalidae;1
Chrysaster ostensackenella;Chrysaster ostensackenella;Chrysaster;Gracillariidae;0
Coleophora coracipennella;Coleophora coracipennella;Coleophora;Coleophoridae;0
Stigmella atricapitella;Stigmella atricapitella;Stigmella;Nepticulidae;0
Dichrorampha acuminatana;Dichrorampha acuminatana;Dichrorampha;Tortricidae;0
Dichrorampha petiverella;Dichrorampha petiverella;Dichrorampha;Tortricidae;0
Xylophanes ploetzi;Xylophanes ploetzi;Xylophanes;Sphingidae;0
Lobesiodes euphorbiana;Lobesiodes euphorbiana;Lobesiodes;Tortricidae;0
Crocidolomia binotalis;Crocidolomia pavonana;Crocidolomia;Crambidae;0
Heliothis zea;Helicoverpa zea;Helicoverpa;Noctuidae;0
Heliothis armigera;Helicoverpa armigera;Helicoverpa;Noctuidae;0
Pseudaletia unipunctata;Mythimna unipuncta;Mythimna;Noctuidae;0
Hedya salicella;Hedya salicella;Hedya;Tortricidae;0
Spilonota ocellana;Spilonota ocellana;Spilonota;Tortricidae;0
Auratonota dispersa;Auratonota dispersa;Auratonota;Tortricidae;0
Eulepidotis mabis;Eulepidotis mabis;Eulepidotis;Erebidae;0
Pararcte schneideriana;Pararcte schneideriana;Pararcte;Erebidae;0
Bedellia somnulentella;Bedellia somnulentella;Bedellia;Bedelliidae;0
Appias lyncida;Appias lyncida;Appias;Pieridae;1
Ariadne ariadne;Ariadne ariadne;Ariadne;Nymphalidae;1
Pieris canidia;Pieris canidia;Pieris;Pieridae;1
Parathyma perius;Parathyma perius;Parathyma;Nymphalidae;1
Artona funeralis;Artona funeralis;Artona;Zygaenidae;0
Borbo cinnara;Borbo cinnara;Borbo;Hesperiidae;1
Luthrodes pandava;Luthrodes pandava;Luthrodes;Lycaenidae;1
Chlumetia brevisigna;Chlumetia brevisigna;Chlumetia;Euteliidae;0
Conopomorpha litchiella;Conopomorpha litchiella;Conopomorpha;Gracillariidae;0
Conopomorpha sinensis;Conopomorpha sinensis;Conopomorpha;Gracillariidae;0
Crocidolomia pavonana;Crocidolomia pavonana;Crocidolomia;Crambidae;0
Cupha erymanthis;Cupha erymanthis;Cupha;Nymphalidae;1
Diacrotricha fasciola;Diacrotricha fasciola;Diacrotricha;Pterophoridae;0
Doloessa viridis;Doloessa viridis;Doloessa;Pyralidae;0
Eumeta variegatus;Eumeta variegatus;Eumeta;Psychidae;0
Euploea mulciber;Euploea mulciber;Euploea;Nymphalidae;1
Leptosia nina;Leptosia nina;Leptosia;Pieridae;1
Manatha taiwana;Manatha taiwana;Manatha;Psychidae;0
Macaldenia palumba;Macaldenia palumba;Macaldenia;Erebidae;0
Atrophaneura aristolochiae;Pachliopta aristolochiae;Pachliopta;Papilionidae;1
Parantica aglea;Parantica aglea;Parantica;Nymphalidae;1
Parapediasia teterrellus;Parapediasia teterellus;Parapediasia;Crambidae;0
Parasa lepida;Parasa lepida;Parasa;Limacodidae;0
Pyralis farinalis;Pyralis farinalis;Pyralis;Pyralidae;0
Statherotis discana;Statherotis discana;Statherotis;Tortricidae;0
Suastus gremius;Suastus gremius;Suastus;Hesperiidae;1
Zizula hylax;Zizula hylax;Zizula;Lycaenidae;1
Spilonota laricana;Spilonota laricana;Spilonota;Tortricidae;0
Diatraea grandiosella;Diatraea grandiosella;Diatraea;Crambidae;0
Scrobipalpa aptatella;Scrobipalpa aptatella;Scrobipalpa;Gelechiidae;0
Cymolomia hartigiana;Cymolomia hartigiana;Cymolomia;Tortricidae;0
Depressaria radiella;Depressaria radiella;Depressaria;Depressariidae;0
Epiblema sticticana;Epiblema sticticana;Epiblema;Tortricidae;0
Epinotia abbreviana;Epinotia abbreviana;Epinotia;Tortricidae;0
Eucosma cana;Eucosma cana;Eucosma;Tortricidae;0
Dichrorampha montanana;Dichrorampha montanana;Dichrorampha;Tortricidae;0
Neurostrota gunniella;Neurostrota gunniella;Neurostrota;Gracillariidae;0
Callisto insperatella;Callisto insperatella;Callisto;Gracillariidae;0
Phyllonorycter lantanella;Phyllonorycter lantanella;Phyllonorycter;Gracillariidae;0
Argynnis niobe;Fabriciana niobe;Fabriciana;Nymphalidae;1
Colias myrmidone;Colias myrmidone;Colias;Pieridae;1
Spodoptera cilium;Spodoptera cilium;Spodoptera;Noctuidae;0
Parapediasia teterrella;Parapediasia teterellus;Parapediasia;Crambidae;0
Edales pandava;Edales pandava;Edales;Lycaenidae;1
Pachliopta aristolochiae;Pachliopta aristolochiae;Pachliopta;Papilionidae;1
Milionia basalis;Milionia basalis;Milionia;Geometridae;0
Hasora badra;Hasora badra;Hasora;Hesperiidae;1
Asota ficus;Asota ficus;Asota;Erebidae;0
Chilades pandava;Edales pandava;Edales;Lycaenidae;1
Athyma perius;Parathyma perius;Parathyma;Nymphalidae;1
Hestina assimilis;Hestina assimilis;Hestina;Nymphalidae;1
Phalanta phalantha;Phalanta phalantha;Phalanta;Nymphalidae;1
Pachiopta aristolochiae;Pachliopta aristolochiae;Pachliopta;Papilionidae;1
Acherontia lachesis;Acherontia lachesis;Acherontia;Sphingidae;0
Phyllonorycter pumilae;Phyllonorycter pumilae;Phyllonorycter;Gracillariidae;0
Dichrorampha aeratana;Dichrorampha aeratana;Dichrorampha;Tortricidae;0
Endothenia quadrimaculana;Endothenia quadrimaculana;Endothenia;Tortricidae;0
Hecatera dysodea;Hecatera dysodea;Hecatera;Noctuidae;0
Toulgoetarctia nigripuncta;Araeomolis nigripuncta;Araeomolis;Erebidae;0
Colias hyale;Colias hyale;Colias;Pieridae;1
Acontia candefacta;Acontia candefacta;Acontia;Noctuidae;0
Epichoristodes acerbella;Epichoristodes acerbella;Epichoristodes;Tortricidae;0
Polyommatus icarus;Polyommatus icarus;Polyommatus;Lycaenidae;1
Polyommatus semiargus;Cyaniris semiargus;Cyaniris;Lycaenidae;1
Malacosoma parallela;Malacosoma parallela;Malacosoma;Lasiocampidae;0
Parectopa robiniella;Parectopa robiniella;Parectopa;Gracillariidae;0
Melanargia russia;Melanargia japygia;Melanargia;Nymphalidae;1
Coleophora frischella;Coleophora frischella;Coleophora;Coleophoridae;0
Phyllonorycter trifasciella;Phyllonorycter trifasciella;Phyllonorycter;Gracillariidae;0
Spinipogon harmozones;Spinipogon harmozones;Spinipogon;Tortricidae;0
Hypena opulenta;Hypena opulenta;Hypena;Erebidae;0
Fixsenia pruni;Fixsenia pruni;Fixsenia;Lycaenidae;1
Limenitis populi;Limenitis populi;Limenitis;Nymphalidae;1
Dichelia histrionana;Dichelia histrionana;Dichelia;Tortricidae;0
Yponomeuta malinellus;Yponomeuta padella;Yponomeuta;Yponomeutidae;0
Brenthis ino;Brenthis ino;Brenthis;Nymphalidae;1
Herpetogramma basalis;Herpetogramma basalis;Herpetogramma;Crambidae;0
Acraea terpiscore;Acraea terpsicore;Acraea;Nymphalidae;1
Actinotia hyperici;Chloantha hyperici;Chloantha;Noctuidae;0
Agonopterix alstroemeriana;Agonopterix alstromeriana;Agonopterix;Depressariidae;0
Aglossa caprealis;Aglossa caprealis;Aglossa;Pyralidae;0
Anomis involuta;Zale minerea;Zale;Erebidae;0
Antigastra catalaunalis;Antigastra catalaunalis;Antigastra;Crambidae;0
Aplocera efformata;Aplocera efformata;Aplocera;Geometridae;0
Aplocera plagiata;Aplocera plagiata;Aplocera;Geometridae;0
Macrorrhinia endonephele;Macrorrhinia endonephele;Macrorrhinia;Pyralidae;0
Aristotelia ivae;Aristotelia ivae;Aristotelia;Gelechiidae;0
Autoplusia illustrata;Notioplusia illustrata;Notioplusia;Noctuidae;0
Bombyx mori;Bombyx mori;Bombyx;Bombycidae;0
Bradyrrhoa gilveolella;Bradyrrhoa gilveolella;Bradyrrhoa;Pyralidae;0
Bucculatrix gossypii;Bucculatrix gossypii;Bucculatrix;Bucculatricidae;0
Bucculatrix ivella;Bucculatrix ivella;Bucculatrix;Bucculatricidae;0
Bucculatrix parthenica;Bucculatrix parthenica;Bucculatrix;Bucculatricidae;0
Chamaesphecia mysiniformis;Chamaesphecia mysiniformis;Chamaesphecia;Sesiidae;0
Chilo polychrysa;Chilo polychrysa;Chilo;Crambidae;0
Chlumetia euthysticha;Chlumetia euthysticha;Chlumetia;Euteliidae;0
Citripestis eutraphera;Citripestis eutraphera;Citripestis;Pyralidae;0
Cnaphalocrocis medinalis;Cnaphalocrocis medinalis;Cnaphalocrocis;Crambidae;0
Cnaphalocrocis poeyalis;Cnaphalocrocis poeyalis;Cnaphalocrocis;Crambidae;0
Eublemma scitula;Eublemma scitula;Eublemma;Noctuidae;0
Cochylis atricapitana;Cochylis atricapitana;Cochylis;Tortricidae;0
Coleophora alcyonipennella;Coleophora alcyonipennella;Coleophora;Coleophoridae;0
Comostolopsis germana;Comostolopsis germana;Comostolopsis;Geometridae;0
Cryptoblabes adoceta;Cryptoblabes adoceta;Cryptoblabes;Pyralidae;0
Deanolis sublimbalis;Deanolis sublimbalis;Deanolis;Crambidae;0
Dialectica scalariella;Dialectica scalariella;Dialectica;Gracillariidae;0
Ectaga garcia;Ectaga garcia;Ectaga;Depressariidae;0
Epiblema strenuana;Epiblema strenuana;Epiblema;Tortricidae;0
Euclasta gigantalis;Euclasta gigantalis;Euclasta;Crambidae;0
Eudocima jordani;Eudocima jordani;Eudocima;Erebidae;0
Eudocima salaminia;Eudocima salaminia;Eudocima;Erebidae;0
Grammodes stolida;Grammodes stolida;Grammodes;Erebidae;0
Helicoverpa assulta;Helicoverpa assulta;Helicoverpa;Noctuidae;0
Hellinsia balanotes;Hellinsia balanotes;Hellinsia;Pterophoridae;0
Ischyja manlia;Ischyja manlia;Ischyja;Erebidae;0
Leptocneria reducta;Leptocneria reducta;Leptocneria;Erebidae;0
Leucania loreyi;Leucania loreyi;Leucania;Noctuidae;0
Leucania stenographa;Leucania stenographa;Leucania;Noctuidae;0
Leucoptera spartifoliella;Leucoptera spartifoliella;Leucoptera;Lyonetiidae;0
Lorita baccharivora;Lorita baccharivora;Lorita;Tortricidae;0
Loxomorpha flavidissimalis;Loxomorpha flavidissimalis;Loxomorpha;Crambidae;0
Mampava rhodoneura;Mampava rhodoneura;Mampava;Pyralidae;0
Melitara dentata;Melitara dentata;Melitara;Pyralidae;0
Niphograpta albiguttalis;Niphograpta albiguttalis;Niphograpta;Crambidae;0
Melitara junctolineella;Melitara junctolineella;Melitara;Pyralidae;0
Ophiusa coronata;Thyas coronata;Thyas;Erebidae;0
Ophiusa tirhaca;Ophiusa tirhaca;Ophiusa;Erebidae;0
Ophiusa trapezium;Ophiusa trapezium;Ophiusa;Erebidae;0
Oraesia emarginata;Oraesia emarginata;Oraesia;Erebidae;0
