Species;AcceptedSpecies;Genus;Family;Butterfly
Archips fuscocupreanus;Archips fuscocupreanus;Archips;Tortricidae;0
Antispila oinophylla;Antispila oinophylla;Antispila;Heliozelidae;0
Zeuzera pyrina;Zeuzera pyrina;Zeuzera;Cossidae;0
Thaumetopoea pityocampa;Thaumetopoea pityocampa;Thaumetopoea;Notodontidae;0
Cacyreus marshalli;Cacyreus marshalli;Cacyreus;Lycaenidae;1
Eupoecilia ambiguella;Eupoecilia ambiguella;Eupoecilia;Tortricidae;0
Paysandisia archon;Paysandisia archon;Paysandisia;Castniidae;0
Grapholita funebrana;Grapholita funebrana;Grapholita;Tortricidae;0
Phyllocnistis vitegenella;Phyllocnistis vitegenella;Phyllocnistis;Gracillariidae;0
Syntomeida epilais;Syntomeida epilais;Syntomeida;Erebidae;0
Ephestia kuehniella;Ephestia kuehniella;Ephestia;Pyralidae;0
Darna pallivitta;Oxyplax pallivitta;Oxyplax;Limacodidae;0
Megalorhipida leucodactylus;Megalorhipida leucodactylus;Megalorhipida;Pterophoridae;0
Praeacedes atomosella;Praeacedes atomosella;Praeacedes;Tineidae;0
Agrius cingulatus;Agrius cingulata;Agrius;Sphingidae;0
Garella musculana;Garella musculana;Garella;Nolidae;0
Eurema blanda;Eurema blanda;Eurema;Pieridae;1
Sesamia grisescens;Sesamia grisescens;Sesamia;Noctuidae;0
Tineola bisselliella;Tineola bisselliella;Tineola;Tineidae;0
Archips xylosteanus;Archips xylosteana;Archips;Tortricidae;0
Acraea terpsicore;Acraea terpsicore;Acraea;Nymphalidae;1
Plutella porrectella;Plutella porrectella;Plutella;Plutellidae;0
Maliarpha separatella;Maliarpha separatella;Maliarpha;Pyralidae;0
Teia anartoides;Teia anartoides;Teia;Erebidae;0
Lymantria monacha;Lymantria monacha;Lymantria;Erebidae;0
Crocidosema aporema;Crocidosema aporema;Crocidosema;Tortricidae;0
Dendrolimus pini;Dendrolimus pini;Dendrolimus;Lasiocampidae;0
Phyllonorycter messaniella;Phyllonorycter messaniella;Phyllonorycter;Gracillariidae;0
Tebenna micalis;Tebenna micalis;Tebenna;Choreutidae;0
Keiferia lycopersicella;Keiferia lycopersicella;Keiferia;Gelechiidae;0
Malacosoma disstria;Malacosoma disstria;Malacosoma;Lasiocampidae;0
Spodoptera ornithogalli;Spodoptera ornithogalli;Spodoptera;Noctuidae;0
Choristoneura parallela;Choristoneura parallela;Choristoneura;Tortricidae;0
Chloridea virescens;Chloridea virescens;Chloridea;Noctuidae;0
Orgyia leucostigma;Orgyia leucostigma;Orgyia;Erebidae;0
Telchin licus;Castnia licus;Castnia;Castniidae;0
Choristoneura orae;Choristoneura orae;Choristoneura;Tortricidae;0
Choristoneura fumiferana;Choristoneura fumiferana;Choristoneura;Tortricidae;0
Choristoneura conflictana;Choristoneura conflictana;Choristoneura;Tortricidae;0
Lambdina fiscellaria;Lambdina fiscellaria;Lambdina;Geometridae;0
Schreckensteinia festaliella;Schreckensteinia festaliella;Schreckensteinia;Schreckensteiniidae;0
Phtheochroa vulneratana;Phtheochroa vulneratana;Phtheochroa;Tortricidae;0
Spodoptera praefica;Spodoptera praefica;Spodoptera;Noctuidae;0
Choristoneura occidentalis;Choristoneura occidentalis;Choristoneura;Tortricidae;0
Choristoneura pinus;Choristoneura pinus;Choristoneura;Tortricidae;0
Choristoneura rosaceana;Choristoneura rosaceana;Choristoneura;Tortricidae;0
Choristoneura lambertiana;Choristoneura lambertiana;Choristoneura;Tortricidae;0
Grapholita packardi;Grapholita packardi;Grapholita;Tortricidae;0
Orgyia pseudotsugata;Orgyia pseudotsugata;Orgyia;Erebidae;0
Acleris minuta;Acleris minuta;Acleris;Tortricidae;0
Acleris nivisellana;Acleris nivisellana;Acleris;Tortricidae;0
Acleris robinsoniana;Acleris robinsoniana;Acleris;Tortricidae;0
Acleris variana;Acleris variana;Acleris;Tortricidae;0
Cydia nigricana;Cydia nigricana;Cydia;Tortricidae;0
Eana argentana;Eana argentana;Eana;Tortricidae;0
Notocelia cynosbatella;Notocelia cynosbatella;Notocelia;Tortricidae;0
Erinnyis ello;Erinnyis ello;Erinnyis;Sphingidae;0
Maruca vitrata;Maruca vitrata;Maruca;Crambidae;0
Diatraea saccharalis;Diatraea saccharalis;Diatraea;Crambidae;0
Othreis fullonia;Eudocima phalonia;Eudocima;Erebidae;0
Earias vittella;Earias vittella;Earias;Nolidae;0
Lampides boeticus;Lampides boeticus;Lampides;Lycaenidae;1
Spodoptera mauritia;Spodoptera mauritia;Spodoptera;Noctuidae;0
Sesamia inferens;Sesamia inferens;Sesamia;Noctuidae;0
Leucinodes orbonalis;Leucinodes orbonalis;Leucinodes;Crambidae;0
Cephonodes hylas;Cephonodes hylas;Cephonodes;Sphingidae;0
Earias insulana;Earias insulana;Earias;Nolidae;0
Opisina arenosella;Opisina arenosella;Opisina;Xyloryctidae;0
Parapoynx stagnalis;Parapoynx stagnalis;Parapoynx;Crambidae;0
Scirpophaga incertulas;Scirpophaga incertulas;Scirpophaga;Crambidae;0
Chilo infuscatellus;Chilo infuscatellus;Chilo;Crambidae;0
Tuta absoluta;Phthorimaea absoluta;Phthorimaea;Gelechiidae;0
Diaphania indica;Diaphania indica;Diaphania;Crambidae;0
Sphecodina caudata;Sphecodina caudata;Sphecodina;Sphingidae;0
Orgyia antiqua;Orgyia antiqua;Orgyia;Erebidae;0
Hofmannophila pseudospretella;Hofmannophila pseudospretella;Hofmannophila;Oecophoridae;0
Archips rosana;Archips rosana;Archips;Tortricidae;0
Archips cerasivorana;Archips cerasivorana;Archips;Tortricidae;0
Amyelois transitella;Amyelois transitella;Amyelois;Pyralidae;0
Spodoptera exigua;Spodoptera exigua;Spodoptera;Noctuidae;0
Macaria pallidata;Digrammia pallidata;Digrammia;Geometridae;0
Leuciris fimbriaria;Leuciris fimbriaria;Leuciris;Geometridae;0
Carmenta mimosa;Carmenta mimosa;Carmenta;Sesiidae;0
Anomis flava;Anomis flava;Anomis;Erebidae;0
Platynota stultana;Platynota stultana;Platynota;Tortricidae;0
Anarsia lineatella;Anarsia lineatella;Anarsia;Gelechiidae;0
Eugnosta argyroplaca;Eugnosta argyroplaca;Eugnosta;Tortricidae;0
Grapholita prunivora;Grapholita prunivora;Grapholita;Tortricidae;0
Homona coffearia;Homona coffearia;Homona;Tortricidae;0
Tiracola plagiata;Tiracola plagiata;Tiracola;Noctuidae;0
Chrysodeixis eriosoma;Chrysodeixis eriosoma;Chrysodeixis;Noctuidae;0
Agrotis segetum;Agrotis segetum;Agrotis;Noctuidae;0
Cydia splendana;Cydia splendana;Cydia;Tortricidae;0
Cydia pomonella;Cydia pomonella;Cydia;Tortricidae;0
Cadra cautella;Cadra cautella;Cadra;Pyralidae;0
Chrysoesthia sexguttella;Chrysoesthia sexguttella;Chrysoesthia;Gelechiidae;0
Coleophora versurella;Coleophora versurella;Coleophora;Coleophoridae;0
Corcyra cephalonica;Corcyra cephalonica;Corcyra;Pyralidae;0
Danaus plexippus;Danaus plexippus;Danaus;Nymphalidae;1
