;Cosmopolitan;Continent;Species;Realm;ReferenceYear;Reference
67;0;Europe;Autographa gamma;Palearctic;2014;Sullivan, M. and T. Molet. (2007). CPHST Pest Datasheet for Autographa gamma. USDA-APHIS-PPQ-CPHST. Revised January 2014.
68;0;Europe;Aglossa pinguinalis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
69;0;Europe;Lampides boeticus;Palearctic;2021;Edge, D. and Westrip, J. (2021). Lampides boeticus. The IUCN Red List of Threatened Species 2021: e.T174427A161341394
70;0;Europe;Vanessa cardui;Palearctic;2020;Walker, A. and Coetzer, A. (2020). Vanessa cardui. The IUCN Red List of Threatened Species 2020: e.T174379A161326679.
71;0;Europe;Vanessa atalanta;Palearctic;2020;Walker, A. (2020). Vanessa atalanta. The IUCN Red List of Threatened Species 2020: e.T174225A172421220.
72;0;Europe;Danaus chrysippus;Palearctic;2021;Westrip, J. (2021). Danaus chrysippus (errata version published in 2022). The IUCN Red List of Threatened Species 2021: e.T174455A222994680
73;0;Europe;Agapeta zoegana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
74;0;Europe;Agonopterix nervosa;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
75;0;Europe;Amphipyra tragopoginis;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
76;0;Europe;Anarsia lineatella;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
77;0;Europe;Archips podana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
78;0;Europe;Archips rosana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
79;0;Europe;Argyresthia pruniella;Palearctic;2024;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI
80;0;Europe;Calophasia lunula;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
81;0;Europe;Carcina quercana;Palearctic;2007;Khramov, P. (Ed.) (2007). Insecta.pro: international entomological community. Available online at: https://insecta.pro
