AreaID;AreaName;Country;Continent;SubContinent
SWZ.1_1;Swaziland;Swaziland;Africa;
SYC.1_1;Seychelles;Seychelles;Africa;
SYR.1_1;Syria;Syria;Asia;
TCD.1_1;Chad;Chad;Africa;
TGO.1_1;Togo;Togo;Africa;
THA.1_1;Thailand;Thailand;Asia;
TJK.1_1;Tajikistan;Tajikistan;Asia;
TKL.1_1;Tokelau;Tokelau;Oceania;Polynesia
TKM.1_1;Turkmenistan;Turkmenistan;Asia;
TLS.1_1;Timor-Leste;Timor-Leste;Asia;
TON.1_1;Tonga;Tonga;Oceania;Polynesia
TTO.1_1;Trinidad and Tobago;Trinidad and Tobago;South America;
TUN.1_1;Tunisia;Tunisia;Africa;
TUR.1_1;Turkey;Turkey;Asia;
TUV.1_1;Tuvalu;Tuvalu;Oceania;Polynesia
TWN.1_1;Taiwan;Taiwan;Asia;
TZA.1_1;Tanzania;Tanzania;Africa;
TZA.2_1;Tanzania African Islands;Tanzania;Africa;
UGA.1_1;Uganda;Uganda;Africa;
UKR.1_1;Ukraine;Ukraine;Europe;
URY.1_1;Uruguay;Uruguay;South America;
USA.1_1;United States;United States;North America;
USA.1_2;United States;United States;North America;
USA.2_1;United States;United States;Oceania;
USA.3_1;US North American Islands;United States;North America;
USA.4_1;US Oceania Micronesia Islands;United States;North America;Micronesia
USA.5_1;American Samoa;United States;Oceania;Polynesia
USA.6_1;US Oceania Micronesia Islands;United States;Oceania;Micronesia
UZB.1_1;Uzbekistan;Uzbekistan;Asia;
VAT.1_1;Vatican City;Vatican City;Europe;
VCT.1_1;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;North America;
VEN.1_1;Venezuela;Venezuela;South America;
VEN.2_1;Venezuela;Venezuela;South America;
VNM.1_1;Vietnam;Vietnam;Asia;
VUT.1_1;Vanuatu;Vanuatu;Oceania;Melanesia
WSM.1_1;Samoa;Samoa;Oceania;Polynesia
XCA.1_1;Caspian Sea;Caspian Sea;Asia;
XKO.1_1;Kosovo;Kosovo;Europe;
XPI.1_1;Paracel Islands;Paracel Islands;Asia;
XSP.1_1;Spratly Islands;Spratly Islands;Asia;
YEM.1_1;Yemen;Yemen;Asia;
ZAF.1_1;South Africa;South Africa;Africa;
ZMB.1_1;Zambia;Zambia;Africa;
ZWE.1_1;Zimbabwe;Zimbabwe;Africa;
