Species;Continent;Realm;ReferenceYear;Reference
Lantanophaga pusillidactylus;North America;Nearctic;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290
Lantanophaga pusillidactylus;South America;Neotropical;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290
Lantanophaga pusillidactylus;South America;Neotropical;2020;Demetriou, J. et al. (2020). A new tropical invader in Greece: The lantana plume moth Lantanophaga pusillidactylus (Lepidoptera: Pterophoridae). Entomologia Hellenica. 29(1): 1-7
Lantanophaga pusillidactylus;North America;Panamanian;2006;Gielis, C. (2006). Review of the Neotropical species of the family Pterophoridae, part I: Ochyroticinae, Deuterocopinae, Pterophorinae (Platyptiliini, Exelastini, Oxyptilini) (Lepidoptera). Zoologische Mededelingen. 80: 1-290
Lantanophaga pusillidactylus;North America;Panamanian;2020;Demetriou, J. et al. (2020). A new tropical invader in Greece: The lantana plume moth Lantanophaga pusillidactylus (Lepidoptera: Pterophoridae). Entomologia Hellenica. 29(1): 1-7
Lantanophaga pusillidactylus;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lantanophaga pusillidactylus;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lateroligia ophiogramma;Asia;Palearctic;2020;Crabo, L., Holden, D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America, with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae, Noctuinae, Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105
Lateroligia ophiogramma;Europe;Palearctic;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7: 102-104
Lateroligia ophiogramma;Asia;Sino-Japanese;2011;Neil, K. (2011). Lateroligia ophiogramma (Esper)(Lepidoptera: Erebidae) in Nova Scotia, Canada. Journal of the Acadian Entomological Society. 7: 102-104
Lateroligia ophiogramma;Asia;Sino-Japanese;2020;Crabo, L., Holden, D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America, with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae, Noctuinae, Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105
Lebeda nobilis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lecithocera micromela;Australia;Australian;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47
Lecithocera micromela;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lepidoscia heliochares;Australia;Australian;2010;Patrick, B. (2010). Southern spread of moths in New Zealand. The Weta. 40: 32-38
Lepidoscia heliochares;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lepidoscia protorna;Australia;Australian;2011;Hoare, R. (2011). Lepidoptera of gumland heaths - a threatened and rare ecosystem of northern New Zealand. New Zealand Entomologist. 34(1): 67-76
Lepidoscia protorna;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lepidotarphius perornatella;Asia;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Lepidotarphius perornatella;Asia;Oriental;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Leptocroca sanguinolenta;Australia;Australian;2001;Hoare, R. (2001). Adventive species of Lepidoptera recorded for the first time in New Zealand since 1988. New Zealand Entomologist. 24: 23-47
Leptocroca sanguinolenta;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Eudocima salaminia;Australia;Australian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Eudocima salaminia;Oceania;Oceanian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leptosia nina;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania comma;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Eudocima salaminia;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Eudocima salaminia;Oceania;Australian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Helicoverpa punctigera;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucania inconspicua;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania lobrega;South America;Neotropical;1992;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28
Leucania loreyi;Asia;Oriental;2020;Nam, H. et al. (2020). Development of a species diagnostic molecular tool for an invasive pest, Mythimna loreyi, using LAMP. Insects. 11(11): 817
Leucania loreyi;Asia;Palearctic;2020;Nam, H. et al. (2020). Development of a species diagnostic molecular tool for an invasive pest, Mythimna loreyi, using LAMP. Insects. 11(11): 817
Leucania loreyi;Asia;Saharo-Arabian;2020;Nam, H. et al. (2020). Development of a species diagnostic molecular tool for an invasive pest, Mythimna loreyi, using LAMP. Insects. 11(11): 817
Leucania loreyi;Asia;Sino-Japanese;2020;Nam, H. et al. (2020). Development of a species diagnostic molecular tool for an invasive pest, Mythimna loreyi, using LAMP. Insects. 11(11): 817
Helicoverpa punctigera;Australia;Australian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Helicoverpa punctigera;Oceania;Oceanian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucania stenographa;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucania stenographa;Asia;Palearctic;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucania stenographa;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania stenographa;Australia;Australian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania stenographa;Oceania;Oceanian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania striata;Asia;Oriental;1987;Yoshimatsu, S. (1987). Taxonomic study on Leucania striata Leech and its close relatives, with a description of a new species (Lepidoptera, Noctuidae). Lepidoptera Science. 38(2): 57-67
Leucania striata;Asia;Sino-Japanese;1987;Yoshimatsu, S. (1987). Taxonomic study on Leucania striata Leech and its close relatives, with a description of a new species (Lepidoptera, Noctuidae). Lepidoptera Science. 38(2): 57-67
Leucania striata;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucania striata;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucinodes orbonalis;Australia;Australian;2015;Mally, R. et al. (2015). Discovery of an unknown diversity of Leucinodes species damaging Solanaceae fruits in sub-Saharan Africa and moving in trade (Insecta, Lepidoptera, Pyraloidea). ZooKeys. 472: 117-162
Leucinodes orbonalis;Asia;Oriental;2015;Mally, R. et al. (2015). Discovery of an unknown diversity of Leucinodes species damaging Solanaceae fruits in sub-Saharan Africa and moving in trade (Insecta, Lepidoptera, Pyraloidea). ZooKeys. 472: 117-162
Leucinodes orbonalis;Asia;Saharo-Arabian;2015;Mally, R. et al. (2015). Discovery of an unknown diversity of Leucinodes species damaging Solanaceae fruits in sub-Saharan Africa and moving in trade (Insecta, Lepidoptera, Pyraloidea). ZooKeys. 472: 117-162
Leucinodes orbonalis;Asia;Sino-Japanese;2015;Mally, R. et al. (2015). Discovery of an unknown diversity of Leucinodes species damaging Solanaceae fruits in sub-Saharan Africa and moving in trade (Insecta, Lepidoptera, Pyraloidea). ZooKeys. 472: 117-162
Leucinodes orbonalis;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucinodes orbonalis;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucinodes orbonalis;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leuciris fimbriaria;North America;Nearctic;2009;Heard, T., Paynter, Q. (2009). Mimosa pigra (Leguminosae). In: Biological control of tropical weeds using arthropods. Cambridge University Press, Cambridge, UK. 256-273
Leuciris fimbriaria;South America;Neotropical;2002;Pitkin, L. (2002). Neotropical ennomine moths: a review of the genera (Lepidoptera: Geometridae). Zoological Journal of the Linnean Society. 135(2): 121-401
Leuciris fimbriaria;South America;Neotropical;2009;Heard, T., Paynter, Q. (2009). Mimosa pigra (Leguminosae). In: Biological control of tropical weeds using arthropods. Cambridge University Press, Cambridge, UK. 256-273
Leuciris fimbriaria;North America;Panamanian;2002;Pitkin, L. (2002). Neotropical ennomine moths: a review of the genera (Lepidoptera: Geometridae). Zoological Journal of the Linnean Society. 135(2): 121-401
Leuciris fimbriaria;North America;Panamanian;2009;Heard, T., Paynter, Q. (2009). Mimosa pigra (Leguminosae). In: Biological control of tropical weeds using arthropods. Cambridge University Press, Cambridge, UK. 256-273
Leuciris fimbriaria;South America;Panamanian;2002;Pitkin, L. (2002). Neotropical ennomine moths: a review of the genera (Lepidoptera: Geometridae). Zoological Journal of the Linnean Society. 135(2): 121-401
Leucoma salicis;Asia;Palearctic;1956;Kumata, T. (1956). A revision of the Japanese species of the genus Leucoma Stephens (Lepidoptera, Lymantriidae). Insecta Matsumurana. 20(3): 107-113
Leucoma salicis;Asia;Sino-Japanese;1956;Kumata, T. (1956). A revision of the Japanese species of the genus Leucoma Stephens (Lepidoptera, Lymantriidae). Insecta Matsumurana. 20(3): 107-113
Leucoma salicis;Asia;Sino-Japanese;1979;Wagner, T., Leonard, D. (1979). Aspects of Mating, Oviposition, and Flight in the Satin Moth, Leocoma salicis (Lepidoptera: Lymantriidae) 1. The Canadian Entomologist. 111(7): 833-840
Leucoma salicis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucoptera coffeella;Africa;Afrotropical;2021;Dantas, J. et al. (2021). A comprehensive review of the coffee leaf miner Leucoptera coffeella (Lepidoptera: Lyonetiidae) - A major pest for the coffee crop in Brazil and others Neotropical countries. Insects. 12(12): 1130
Leucoptera coffeella;Africa;Madagascan;1984;Green, D. (1984). A Proposed Origin of the Coffee Leaf-miner, Leucoptera coffeella (Guerin-Meneville) (Lepidoptera: Lyonetiidae). Bulletin of the Entomological Society of America. 30(1): 30-31
Leucoptera coffeella;Africa;Saharo-Arabian;2021;Dantas, J. et al. (2021). A comprehensive review of the coffee leaf miner Leucoptera coffeella (Lepidoptera: Lyonetiidae) - A major pest for the coffee crop in Brazil and others Neotropical countries. Insects. 12(12): 1130
Leucoptera coffeella;Africa;Madagascan;2021;Dantas, J. et al. (2021). A comprehensive review of the coffee leaf miner Leucoptera coffeella (Lepidoptera: Lyonetiidae) - A major pest for the coffee crop in Brazil and others Neotropical countries. Insects. 12(12): 1130
Leucoptera laburnella;North America;Nearctic;2015;Pohl, G. et al. (2015). Checklist of the Lepidoptera of British Columbia, Canada. Entomological Society of British Columbia Occasional Paper. 3: 1-237
Leucoptera laburnella;Asia;Palearctic;2006;Seven, S. (2006). Lyonetiidae of Turkey with notes on their distribution and zoogeography (Lepidoptera). Zootaxa. 1245(1): 53-58
Leucoptera laburnella;Europe;Palearctic;2006;Seven, S. (2006). Lyonetiidae of Turkey with notes on their distribution and zoogeography (Lepidoptera). Zootaxa. 1245(1): 53-58
Leucoptera laburnella;Europe;Palearctic;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Leucania stenographa;Europe;Palearctic;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucania stenographa;Asia;Sino-Japanese;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa tirhaca;Africa;Afrotropical;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa tirhaca;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Leucoptera sinuella;Asia;Oriental;1964;Kuroko, H. (1964). Revisional studies on the family Lyonetiidae of Japan (Lepidoptera). ESAKIA. 4: 1-61
Leucoptera sinuella;Asia;Palearctic;2024;Canete-Salinas, P. et al. (2024). Use of satellite images to monitor Leucoptera sinuella leaf damage in poplar plantations in central Chile. New Forests. 1-14
Leucoptera sinuella;Europe;Palearctic;2024;Canete-Salinas, P. et al. (2024). Use of satellite images to monitor Leucoptera sinuella leaf damage in poplar plantations in central Chile. New Forests. 1-14
Leucoptera sinuella;Africa;Saharo-Arabian;1964;Kuroko, H. (1964). Revisional studies on the family Lyonetiidae of Japan (Lepidoptera). ESAKIA. 4: 1-61
Leucoptera sinuella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Leucoptera spartifoliella;Europe;Palearctic;1964;Frick, K. (1964). Leucoptera spartifoliella, an introduced enemy of Scotch broom in the western United States. Journal of Economic Entomology. 57(4): 589-591
Leucoptera spartifoliella;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lineodes elcodes;South America;Neotropical;2025;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys
Ophiusa tirhaca;Asia;Palearctic;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa tirhaca;Europe;Palearctic;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa tirhaca;Africa;Saharo-Arabian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Lineodes integra;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lineodes integra;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lineodes ochrea;Oceania;Oceanian;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lioptilodes albistriolatus;North America;Nearctic;2019;Matthews, D. et al. (2019). Additions to the plume moth fauna of The Bahamas (Lepidoptera: Pterophoridae) with description of four new species. Insecta Mundi. 0708: 1-35
Lioptilodes albistriolatus;South America;Neotropical;2019;Matthews, D. et al. (2019). Additions to the plume moth fauna of The Bahamas (Lepidoptera: Pterophoridae) with description of four new species. Insecta Mundi. 0708: 1-35
Lipographis subosseella;North America;Panamanian;1992;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28
Lipographis subosseella;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lithophane leautieri;Europe;Palearctic;1999;de Vos, R. (1999). Trekvlinders in 1998 (negenenvijftigste jaarverslag) (Lepidoptera). Entomologische berichten. 59: 173-185
Lithophane leautieri;Europe;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Lithophane leautieri;Africa;Saharo-Arabian;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Litoprosopus haitiensis;North America;Panamanian;1992;Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28
Litoprosopus haitiensis;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lobesia botrana;Asia;Palearctic;2011;Gilligan, T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30
Lobesia botrana;Europe;Palearctic;2011;Gilligan, T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30
Lobesia botrana;Africa;Saharo-Arabian;2011;Gilligan, T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30
Lobesia botrana;Asia;Saharo-Arabian;2011;Gilligan, T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30
Lobesia botrana;Asia;Sino-Japanese;2011;Gilligan, T. et al. (2011). Discovery of Lobesia botrana (Denis and Schiffermuller) in California: An invasive species new to North America (Lepidoptera: Tortricidae). Proceedings of the Entomological Society of Washington. 1113(1): 14-30
Lobesia botrana;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lobesiodes euphorbiana;Europe;Palearctic;2020;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594
Lorita baccharivora;North America;Nearctic;1988;Diatloff, G., Palmer, W. (1988). The host specificity and biology of Aristotella ivae Busck (Gelechiidae) and Lorita baccharivora Pogue (Tortricidae), two microlepidoptera selected as biological control agents for Baccharis halimifolia (Asteraceae) in Australia. Proceedings of the Entomological Society of Washington. 90(4): 458-461
Lorita baccharivora;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Ophiusa tirhaca;Asia;Sino-Japanese;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa tirhaca;Africa;Madagascan;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Ophiusa trapezium;Oceania;Oceanian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Lorita scarificata;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Loxomorpha flavidissimalis;North America;Nearctic;2019;Gonzalez-Hernandez, A. et al. (2019). First report of range expansion of the cactus webworm, Loxomorpha flavidissimalis (Grote)(Pyraloidea: Crambidae), to central Mexico and central Texas, USA. Florida Entomologist. 102(3): 638-641
Loxostege sticticalis;Asia;Palearctic;1938;Pepper, J. (1938). The effect of certain climatic factors on the distribution of the beet webworm (Loxostege sticticalis L.) in North America. Ecology. 19(4): 565-571
Loxostege sticticalis;Europe;Palearctic;1938;Pepper, J. (1938). The effect of certain climatic factors on the distribution of the beet webworm (Loxostege sticticalis L.) in North America. Ecology. 19(4): 565-571
Loxostege sticticalis;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Loxostege sticticalis;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Loxostege sticticalis;Asia;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Ophiusa trapezium;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Lozotaenia cedrivora;Africa;Saharo-Arabian;1990;Chambon, J. et al. (1990). Trois nouvelles Tordeuses dAlgerie, nuisibles aux Coniferes: Epinotia algeriensis n. sp.(Olethrentinae, Eucosmini), Lozotaenia cedrivora n. sp. et Dichela numidicola n. sp.(Tortricinae, Archipini)[Lep. Tortricidae]. Bulletin de la Societe entomologique de France. 95(3): 131-138
Oxyodes scrobiculata;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Lozotaenia cedrivora;Africa;Afrotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Luthrodes pandava;Asia;Oriental;2009;Wu, L. et al. (2009). Tracing the origin of Chilades pandava (Lepidoptera, Lycaenidae) found at Kinmen Island using mitochondrial COI and COII Genes. BioFormosa. 44(2): 61-68
Luthrodes pandava;Asia;Oriental;2010;Wu, L. et al. (2010). Elucidating genetic signatures of native and introduced populations of the Cycad Blue, Chilades pandava to Taiwan: a threat both to Sago Palm and to native Cycas populations worldwide. Biological Invasions. 12(8): 2649-2669
Luthrodes pandava;Asia;Sino-Japanese;2009;Wu, L. et al. (2009). Tracing the origin of Chilades pandava (Lepidoptera, Lycaenidae) found at Kinmen Island using mitochondrial COI and COII Genes. BioFormosa. 44(2): 61-68
Lycomorphodes sordida;North America;Nearctic;1992;Adams, J. (1992). A new lichen moth record for the United States: Lycomorphodes sordida (Arctiidae: Lithosiinae) from south Texas. Journal of the Lepidopterists Society. 46(2): 160-161
Lycomorphodes sordida;South America;Neotropical;1992;Adams, J. (1992). A new lichen moth record for the United States: Lycomorphodes sordida (Arctiidae: Lithosiinae) from south Texas. Journal of the Lepidopterists Society. 46(2): 160-161
Lycomorphodes sordida;North America;Panamanian;1992;Adams, J. (1992). A new lichen moth record for the United States: Lycomorphodes sordida (Arctiidae: Lithosiinae) from south Texas. Journal of the Lepidopterists Society. 46(2): 160-161
Lycomorphodes sordida;North America;Nearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lycomorphodes sordida;South America;Neotropical;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Lymantria dispar;Asia;Oriental;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Asia;Palearctic;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Asia;Palearctic;2020;Wu, Y. et al. (2020). Tracking invasions of a destructive defoliator, the gypsy moth (Erebidae: Lymantria dispar): Population structure, origin of intercepted specimens, and Asian introgression into North America. Evolutionary Applications. 13(8): 2056-2070
Lymantria dispar;Europe;Palearctic;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Europe;Palearctic;2020;Wu, Y. et al. (2020). Tracking invasions of a destructive defoliator, the gypsy moth (Erebidae: Lymantria dispar): Population structure, origin of intercepted specimens, and Asian introgression into North America. Evolutionary Applications. 13(8): 2056-2070
Lymantria dispar;Africa;Saharo-Arabian;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Asia;Saharo-Arabian;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Asia;Sino-Japanese;2007;Pogue, M. (2007). A Review of Selected Species of Lymantria Hubner (1819) (Lepidoptera: Noctuidae: Lymantriinae) from Subtropical and Temperate Regions of Asia, Including the Descriptions of Three New Species, Some Potentially Invasive to North America. U.S. Department of Agriculture, Forest Health Technology Enterprise Team. 223 pp
Lymantria dispar;Asia;Sino-Japanese;2020;Wu, Y. et al. (2020). Tracking invasions of a destructive defoliator, the gypsy moth (Erebidae: Lymantria dispar): Population structure, origin of intercepted specimens, and Asian introgression into North America. Evolutionary Applications. 13(8): 2056-2070
Lymantria dispar;Europe;Palearctic;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Phalaenoides glycinae;Australia;Australian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Serrodes mediopallens;Oceania;Oceanian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Serrodes mediopallens;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Thyas coronata;Asia;Oriental;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Thyas coronata;Oceania;Oceanian;2025;PaDIL (2025). The Pest and Disease Image Library (PaDIL).
Daphnis nerii;Africa;Afrotropical;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Daphnis nerii;Africa;Madagascan;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Macaldenia palumba;Asia;Oriental;2013;Kirti, J., Singh, H. (2013). An inventory of subfamily Catocalinae (Noctuidae: Lepidoptera) from North-East India. Journal of Applied Biosciences. 39(1): 1-22
Macaldenia palumba;Asia;Oriental;2003;Holloway, J., Miller, S. (2003). The composition, generic placement and host-plant relationships of the joviana-group in the Parallelia generic complex (Lepidoptera: Noctuidae, Catocalinae). Invertebrate Systematics. 17(1): 111-128
Macaldenia palumba;Asia;Oriental;2024;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo
Daphnis nerii;Asia;Oriental;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Daphnis nerii;Asia;Palearctic;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Daphnis nerii;Europe;Palearctic;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Macaria liturata;Asia;Palearctic;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
Daphnis nerii;Africa;Saharo-Arabian;2024;Pittaway, A. (2024). Sphingidae of the Western Palaearctic (including Europe, North Africa, the Middle East, western Siberia and western Central Asia).
Macaria liturata;Asia;Sino-Japanese;2010;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668
