Reference;Reference Year
Leps, J., Spitzer, K. (1990). Ecological determinants of butterfly communities (Lepidoptera, Papilionoidea) in the Tam Dao mountains, Vietnam. Acta Entomologica Bohemoslovaca. 87(3): 182-194;1990
Gordon, A. (2011). Biological control endeavours against Australian myrtle, Leptospermum laevigatum (Gaertn.) F. Muell.(Myrtaceae), in South Africa. African Entomology. 19(1): 349-355;2011
Diatloff, G., Palmer, W. (1988). The host specificity and biology of Aristotella ivae Busck (Gelechiidae) and Lorita baccharivora Pogue (Tortricidae), two microlepidoptera selected as biological control agents for Baccharis halimifolia (Asteraceae) in Australia. Proceedings of the Entomological Society of Washington. 90(4): 458-461;1988
Marianelli, L. et al. (2020). First record of the pest Artona (Fuscartona) martini Efetov, 1997 (Lepidoptera Zygaenidae Procridinae Artonini) in European territory. Redia: Journal of Zoology/Giornale di Zoologia. 103: 3-7;2020
Ekrem, T. et al. (2014). The most northerly Black Witch (Ascalapha odorata): a tropical moth in the Canadian Arctic. The Canadian Field-Naturalist. 128(1): 77-79;2014
Koster, S., Sammut, P. (2006). Faunistic notes on Momphidae, Batrachedridae, Stathmopodidae and Cosmopterigidae from the Maltese Islands. Nota lepidopterologica. 29(1): 49-63;2006
Gozmany L. (1960). The results of the zoological collecting trip to Egypt in 1957, of the Natural History Museum, Budapest. 8. Egyptian Microlepidoptera II;1960
Landry, B. (2016). Taxonomic revision of the Spilomelinae (Lepidoptera, Pyralidae sl) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 123(2): 315-399;2016
Hirai, N. et al. (2011). Effects of photoperiod and temperature on development and diapause in a noctuid moth, Asota ficus (Fabricius)(Lepidoptera: Noctuidae), of the Osaka population. Lepidoptera Science. 62(4): 166-174;2011
Austin, K., Rubinoff, D. (2024). New records of introduced Lepidoptera in the Hawaiian Islands for the year 2023. Bishop Museum Occasional Papers. 156: 111-121;2024
Roberts, L. (1979). Insects from the Cavalli Islands. Tane. 25: 125-131;1979
Irungbam, J., Irungbam, M. (2019). Contributions to the knowledge of moths of Bombycoidea Latreille, 1802 (Lepidoptera: Heterocera) of Bhutan with new records. Journal of Threatened Taxa. 11(8): 14022-14050;2019
Bidzilya, O. (2005). A review of the genus Athrips (Lepidoptera, Gelechiidae) in the Palaearctic region. Deutsche Entomologische Zeitschrift. 52(1): 3-72;2005
Brown, J. (1990). New species and first US record of Auratonota (Lepidoptera: Tortricidae). Florida Entomologist. 73(1): 153-157;1990
Kim, S. et al. (2023). One Newly Recorded Species, Autosticha kyotensis (Lepidoptera: Autostichidae) from Korea with a World Checklist of the Genus. Korean Journal of Applied Entomology. 62(2): 61-67;2023
Park, K., Kim, S. (2017). Faunistic data of micromoths (Lepidoptera) in North Korea. Journal of Asia-Pacific Biodiversity. 10(1): 73-80;2017
Becker, V., Miller, S. (2002). Large moths of Guana Island, British Virgin Islands: a survey of efficient colonizers (Lepidoptera: Sphingidae, Notodontidae, Noctuidae, Arctiidae, Geometridae, Hyblaeidae, Cossidae). Journal of the Lepidopterists Society. 56(1): 9-44;2002
Ramos, J. (1946). The insects of Mona Island (West Indies). The Journal of Agriculture of the University of Puerto Rico. 30(1): 1-73;1946
Diakonoff, A. (1964). Further records and descriptions of the species of Bactra Stephens (Lepidoptera, Tortricidae). Zoologische Verhandelingen. 70(1): 1-81;1964
Razowski, J. et al. (2008). The Tortricidae (Lepidoptera) of the Galapagos Islands, Ecuador. Revue Suisse de Zoologie. 115(1): 185;2008
Sohn, J. et al. (2015). Seven species of Olethreutinae (Lepidoptera: Tortricidae) new to Korea. Journal of Asia-Pacific Biodiversity. 8(2): 133-138;2015
Ferguson, D. (1997). Review of the New World Bagisarinae with description of two new species from the Southern United States (Noctuidae). Journal of the Lepidopterists Society. 51: 344-357;1997
Meyrick, E. (1887). On Pyralidina from Australia and the South Pacific. The Transactions of the Entomological Society of London for the Year of 1887. 185-268;1887
Common, I. (2000). Oecophorine genera of Australia III: the Barea group and unplaced genera (Lepidoptera: Oecophoridae) (Vol. 8). Csiro Publishing;2000
Withers, T. (2001). Colonization of eucalypts in New Zealand by Australian insects. Austral Ecology. 26(5): 467-476;2001
Mustelin, T. et al. (2017). Survey of the Lepidoptera in the North-Central Olympic National Park, Washington, USA. The Journal of the Lepidopterists Society. 72(4): 284-295;2017
Carpenter, J. et al. (1978). Pests and diseases of the date palms. Agriculture Handbook. 524:1-40;1978
Hodges, R. (1966). Review of New World Species of Batrachedra, with Description of Three New Genera (Lepidoptera: Gelechioidea). Transactions of the American Entomological Society. 92(4): 585-651;1966
Frank, J., McCoy, E. (1992). Introduction to the Behavioral Ecology of Immigration. The Immigration of Insects to Florida, with a Tabulation of Records Published Since 1970. The Florida Entomologist.75(1): 1-28;1992
de Prins, W. et al. (2009). Blastobasis adustella (Lepidoptera: Coleophoridae, Blastobasinae), new to the Belgian list. Phegea. 37(3): 111-118;2009
Karsholt, O., Sinev, S. (2004). Contribution to the Lepidoptera fauna of the Madeira Islands Part 4. Blastobasidae. Beitrage zur Entomologie. 54(2): 387-463;2004
Adamski, D., Brown, R. L. (2022). Larval, pupal, and adult morphology of the acorn moth, Blastobasis glandulella (Riley, 1871)(Lepidoptera: Gelechioidea: Blastobasidae). The Journal of the Lepidopterists Society. 76(1): 10-20;2022
Pinzari, M., Pinzari, M. (2023). Blastobasis tarda Meyrick, 1902 an alien species from Australia new to Italy (Lepidoptera: Blastobasidae). SHILAP Revista de lepidopterologia. 51(201): 51-54;2023
Stonis, J., Rociene, A. (2013) Nepticulidae (Lepidoptera) of East Asia (1). Re-examination of the male genitalia of types deposited at the Russian Academy of Sciences. Zootaxa. 3652 (1): 1–59;2013
Petersen, W., Looney, C. (2020). New moth records in Washington State (USA) acquired from exotic pest surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020
Waterhouse, D. (1994). Biological Control of Weeds: Southeast Asian Prospects. Australian Centre for International Agricultural Research - ACIAR. Camberra, Australia;1994
Littlefield, J. et al. (2000). A petition for the introduction and field release of the Chondrilla root moth, Bradyrrhoa gilveolella (Treitschke), for the biological control of rush skeletonweed in North America. USDA-APHIS Biological Control of Weeds Petition;2000
Calhoun, J., Smith, R. (2022). Brephidium exilis (Lycaenidae) Colonizes the Tampa Bay Area as a New Florida State Record. Southern Lepidopterists News. 44(4): 487-493;2022
van Nieukerken, E. et al. (2012). Bucculatrix ainsliella Murtfeldt, a new North American invader already widespread on northern red oaks (Quercus rubra) in Western Europe (Bucculatricidae). Nota Lepidopterologica. 35(2): 135-159;2012
Diatloff, G. (1987). Host Specificity and Biology of Buccalatrix ivella Busck, a Potential Biological Control Agent for Baccharis halimifolia L. in Australia. Journal of the Lepidopterists Society. 41(1): 23-28;1987
McClay, A. et al. (1990). Biology of Bucculatrix parthenica Bradley sp. n.(Lepidoptera: Bucculatricidae) and its establishment in Australia as a biological control agent for Parthenium hysterophorus (Asteraceae). Bulletin of Entomological Research, 80(4): 427-432;1990
Haidari, H. (1956). The biology and control of the cotton leaf perforator. [Master of Sciences Thesis, The University of Arizona];1956
Baniameri, V. et al. (2017). Morphology and biology of the elm leaf-mining moth, Bucculatrix ulmifoliae Hering, 1931 (Lep.: Bucculatricidae) in Iran. Journal of Entomological Society of Iran, 37(2), 213-222;2017
Brown, J. (2008). Review of the Neotropical genus Cacocharis Walsingham (Lepidoptera: Tortricidae: Olethreutini), with a new synonymy and comments on its host plants and geographic distribution. Proceedings of the Entomological Society of Washington, 110(3), 533-542;2008
Quacchia, A. et al. (2008). Can the Geranium Bronze, Cacyreus marshalli, become a threat for European biodiversity? Biodiversity and Conservation. 17: 1429-1437;2008
Prevett, P. (1968). Some laboratory observations on the life-cycle of Cadra calidella (Guen.)(Lepidoptera: Phycitidae). Journal of Stored Products Research. 4(3): 233-238;1968
Al-Khalidi, N., Al-Zurfi, S. (2025). First morphological and molecular identification of mealybug Cadra cautella (Lepidoptera: Pyralidae) in Karbala, Iraq. Journal of Kerbala for Agricultural Sciences. 12(1): 29-36;2025
Chittenden, F. (1913). The Florida fern caterpillar (No. 125). US Department of Agriculture, Bureau of Entomology;1913
Sugiura, S. (2011). Structure and dynamics of the parasitoid community shared by two herbivore species on different host plants. Arthropod-Plant Interactions. 5: 29-38;2011
de Prins, J., de Prins, W. (2024). Global Taxonomic Database of Gracillariidae (Lepidoptera). Avaliable at: http://www.gracillariidae.net;2024
Mir, S. et al. (2024). First record of the invasive walnut leaf miner Caloptilia roscipennella (Lepidoptera: Gracillariidae) in Kashmir, India. Journal of Applied Entomology, 148(8), 882-887;2024
Young, A. (1982). Notes on the interaction of the skipper butterfly Calpodes ethlius (Lepidoptera: Hesperiidae) with its larval host plant Canna edulis (Cannaceae) in Mazatlan, State of Sinaloa, Mexico. Journal of the New York Entomological Society. 90(2): 99-114;1982
Rodriguez, A. et al. (2023). Capiitulo XIII Insectos asociados a los cultivares hibridos interespecificos OxG. In: Romero, H. Los hibridos interespecificos OxG de palma de aceite. Cenipalma. Bogota D.C., Colombia;2023
Cock, M. (2017) A preliminary catalogue of the moths (Lepidoptera except Papilionoidea) of Tobago, West Indies. Insecta Mundi. 585: 1-58;2017
Aguila, R. (2004). Lepidoptera (Insecta) de Topes de Collantes, Sancti Spiritus, Cuba. Boletin de la SEA Sociedad Entomologica Aragonisa. 34: 151-159;2004
Miller, J, et al. (2012). An annotated list of the Lepidoptera of Honduras. Insecta Mundi. 205: 1-72;2012
Benn, M. et al. (1981). A Sex Attractant for Sperchia intractana Walker (Lepidoptera: Tortricidae) in New Zealand. Zeitschrift fur Naturforschung C. 36(1-2): 178-179;1981
de-Gregorio, J. (1982). Las Platyperigea Smith, 1894 (insectivora. Lepidoptera) de Cataluna y Baleares. Bolletin de la Societat dHistoria Natural de les Balears. 26: 151-156;1982
Kocak, O., Cerci, B. (2021). Lepidoptera fauna of Karaman with two new records for Turkey. Munis Entomology and Zoology. 16(2): 1171-1234;2021
Crabo, L., Holden, D. (2020). A Review of Established Accidentally-Introduced Noctuoidea in the Pacific Northwest Region of North America, with First Report of the Eurasian Cutworm Mesapamea secalis (L.)(Noctuidae, Noctuinae, Apameini) for North America. The Journal of the Lepidopterists Society. 74(2): 95-105;2020
Meyrick, E. (1895). A Handbook of British Lepidoptera. Macmillan and Co. United Kingdom, London. 843pp;1895
Passoa, S. (1983). A new clear wing moth (Sesiidae) from Central America: a stem borer in Mimosa pigra. The Journal of the Lepidopterists Society. 37: 193-206;1983
Gordon, A., Lyons, C. (2017). Current status of Carposina autologa (Lepidoptera: Carposinidae), a biological control agent of silky hakea, Hakea sericea (Proteaceae) and rock hakea, Hakea gibbosa (Proteaceae) in the Western Cape, South Africa. African Entomology. 25(1): 250-253;2017
