Species;NAME_0;Realm;Cryptogenic;Dispersal;Eradicated;IntentionalRelease;Introduced;Established;ReportedFirstYear;Reference;ReferenceYear;AcceptedSpecies
Acleris forsskaleana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1932.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris forsskaleana
Acleris forsskaleana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1932.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acleris forsskaleana
Acleris forsskaleana;United States;Nearctic;;;0.0;0.0;1.0;1.0;1932.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0;Acleris forsskaleana
Acleris forsskaleana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1934.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris forsskaleana
Acleris holmiana;Canada;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1977.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0;Acleris holmiana
Acleris holmiana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1977.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris holmiana
Acleris holmiana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1974.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acleris holmiana
Acleris holmiana;United States;Nearctic;0.0;;0.0;0.0;;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Acleris holmiana
Acleris holmiana;United States;Nearctic;;;0.0;0.0;1.0;1.0;1977.0;Gilligan, T. et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020.0;Acleris holmiana
Acleris holmiana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris holmiana
Acleris holmiana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1974.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris holmiana
Acleris rhombana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;2006.0;Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020.0;Acleris rhombana
Acleris rhombana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris rhombana
Acleris rhombana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;2006.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris rhombana
Acleris rhombana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acleris rhombana
Acleris rhombana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2017.0;Petersen, W., Looney, C. (2020). New Moth Records in Washington State (USA) Acquired from Exotic Pest Surveys. The Journal of the Lepidopterists Society. 74(1): 57-61;2020.0;Acleris rhombana
Acleris rhombana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris rhombana
Acleris rhombana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;2017.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris rhombana
Acleris undulana;France;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0;Acleris undulana
Acleris undulana;France;Palearctic;;;0.0;;1.0;1.0;;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.;2020.0;Acleris undulana
Acleris undulana;France;Palearctic;;;0.0;;1.0;1.0;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0;Acleris undulana
Acleris undulana;Morocco;Saharo-Arabian;0.0;;0.0;0.0;1.0;1.0;;Pullaiah, T., Ielmini, M. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 1: Issues and Invasions in Africa. Wiley. 380pp;2021.0;Acleris undulana
Acleris undulana;Spain;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0;Acleris undulana
Acleris undulana;Spain;Palearctic;;;0.0;;1.0;1.0;1998.0;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.;2020.0;Acleris undulana
Acleris variegana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1922.0;Pohl, G. et al. (2015). Checklist of the Lepidoptera of British Columbia, Canada. Entomological Society of British Columbia Occasional Paper. 3: 1-237;2015.0;Acleris variegana
Acleris variegana;Canada;Nearctic;0.0;;0.0;0.0;1.0;1.0;1920.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris variegana
Acleris variegana;Canada;Nearctic;;;0.0;;;1.0;;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Acleris variegana
Acleris variegana;Ireland;Palearctic;;;0.0;;1.0;1.0;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0;Acleris variegana
Acleris variegana;Portugal;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0;Acleris variegana
Acleris variegana;Portugal;Palearctic;;;0.0;;;1.0;;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Acleris variegana
Acleris variegana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1920.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acleris variegana
Acleris variegana;United States;Nearctic;0.0;;0.0;0.0;;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Acleris variegana
Acleris variegana;United States;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;1917.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris variegana
Acleris variegana;United States;Nearctic;;;0.0;;1.0;1.0;1920.0;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Acleris variegana
Acleris variegana;United States;Nearctic;0.0;;0.0;0.0;1.0;1.0;1917.0;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acleris variegana
Acleris zimmermani;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;1964.0;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acleris zimmermani
Acleris zimmermani;Hawaii;Nearctic;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0;Acleris zimmermani
Acleris zimmermani;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;;Austin, K., Rubinoff, D. (2022). Eleven New Records of Lepidoptera in the Hawaiian Islands including corrections to the Hawaiian Terrestrial Arthropod Checklist. Bishop Museum Occasional Papers 142: 49–74;2022.0;Acleris zimmermani
Acleris zimmermani;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;1963.0;Turner, R. et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo;2024.0;Acleris zimmermani
Acleris zimmermani;Hawaii;Nearctic;0.0;0.0;0.0;1.0;1.0;1.0;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Acleris zimmermani
Acontia candefacta;Bulgaria;Palearctic;0.0;1.0;0.0;0.0;1.0;1.0;2009.0;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0;Acontia candefacta
Acontia candefacta;Czechia;Palearctic;0.0;;0.0;;1.0;1.0;;Lastuvka, Z. et al. (2023). Butterfl ies and moths (Lepidoptera) of Czechia – updated list of species. MENDEKU Agronomicka fakulta.;2023.0;Acontia candefacta
Acontia candefacta;Romania;Palearctic;0.0;1.0;0.0;0.0;1.0;1.0;2008.0;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0;Acontia candefacta
Acontia candefacta;Romania;Palearctic;;;0.0;;1.0;1.0;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0;Acontia candefacta
Acontia candefacta;Russia Asia;Palearctic;0.0;;0.0;1.0;1.0;0.0;1985.0;Sefrova, H. (2003). Invasions of Lithocolletinae species in Europe - Causes, kinds, limits and ecological impact (Lepidoptera, Gracillariidae). Ekologia (Bratislava). 22(2): 132-142;2003.0;Acontia candefacta
Acontia candefacta;Russia Asia;Palearctic;0.0;;0.0;;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0;Acontia candefacta
Acontia candefacta;Russia Europe;Palearctic;0.0;1.0;0.0;0.0;1.0;1.0;2005.0;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0;Acontia candefacta
Acontia candefacta;Russia Europe;Palearctic;;;0.0;;1.0;1.0;1967.0;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.;2020.0;Acontia candefacta
Acontia candefacta;Serbia;Palearctic;0.0;1.0;0.0;0.0;1.0;1.0;2009.0;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0;Acontia candefacta
Acontia candefacta;Ukraine;Palearctic;0.0;0.0;0.0;0.0;1.0;1.0;2004.0;Stojanovic, D. et al. (2017). Expansion of the range of the introduced moth Acontia candefacta in southeastern Europe. Bulletin of Insectology. 70(1): 111-120;2017.0;Acontia candefacta
Acontia candefacta;United Kingdom;Palearctic;0.0;;0.0;0.0;1.0;1.0;;Lopez-Vaamonde, C. et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010.0;Acontia candefacta
Acontia candefacta;United Kingdom;Palearctic;;;0.0;;1.0;1.0;;Roy, D. et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe.;2020.0;Acontia candefacta
Acontia crocata;France;Palearctic;;;0.0;;1.0;1.0;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS.;2020.0;Acontia crocata
Acontia crocata;France;Palearctic;;;0.0;;;1.0;;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Acontia crocata
Acraea terpiscore;Australia;Australian;;;0.0;;1.0;1.0;;Mally, R. et al. (2022). Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset.;2022.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;0.0;;0.0;0.0;;1.0;2012.0;Chowdhury, S. et al. (2020). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27: 402-415;2020.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;0.0;;0.0;0.0;;1.0;2012.0;Braby, M. et al. (2014). Spatial distribution and range expansion of the Tawny Coster butterfly, Acraea terpsicore (Linnaeus, 1758) (Lepidoptera: Nymphalidae), in South-East Asia and Australia. Insect Conservation Diversity. 7: 132-143;2014.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;0.0;;0.0;0.0;;1.0;2012.0;Braby, M. (2013). The Tawny Coster Acraea terpsicore in the Northern Territory, a new butterfly for Australia. Nature Territory. Newsletter of the Northern Territory Field Naturalists Club Inc. February 2013: 5;2013.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;0.0;;0.0;0.0;;1.0;2016.0;Chowdhury, S. et al. (2020). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27: 402-415;2020.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;0.0;;0.0;0.0;;1.0;2014.0;Chowdhury, S. et al. (2020). Coasting along to a wider range: niche conservatism in the recent range expansion of the Tawny Coster, Acraea terpsicore (Lepidoptera: Nymphalidae). Diversity and Distributions. 27: 402-415;2020.0;Acraea terpsicore
Acraea terpsicore;Australia;Australian;;;0.0;;;1.0;;CAB International (CABI) (2024). CABI Invasive Species Compendium.;2024.0;Acraea terpsicore
Acrobasis suavella;Canada;Nearctic;0.0;0.0;0.0;0.0;1.0;1.0;;Shropshire, K., Tallamy, D. (2025). Lepidoptera of North American north of Mexico: An annotated list containing geographic ranges and host plant records. ZooKeys;2025.0;Acrobasis suavella
Acrobasis suavella;United States;Nearctic;0.0;;0.0;0.0;1.0;;;Simpson, A. et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release.;2022.0;Acrobasis suavella
Acrobasis suavella;United States;Nearctic;0.0;;0.0;0.0;;;;Yamanaka, T. et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015.0;Acrobasis suavella
