AcceptedSpecies
Phereoeca allutella
Phereoeca praecox
Philobota chionoptera
Phobetron hipparchia
Phoebis agarithe
Aphrissa orbis
Phrissogonus laticostata
Phthorimaea absoluta
Phthorimaea operculella
Phyllocnistis citrella
Phyllocnistis vitegenella
Phyllonorycter blancardella
Phyllonorycter emberizaepenella
Phyllonorycter geniculella
Phyllonorycter issikii
Phyllonorycter joannisi
Phyllonorycter leucographella
Phyllonorycter medicaginella
Phyllonorycter mespilella
Phyllonorycter messaniella
Phyllonorycter platani
Pieris brassicae
Pieris canidia
Pieris rapae
Piletocera bufalis
Pilocrocis ramentalis
Platyedra subcinerea
Platynota rostrana
Platynota stultana
Platyptilia isodactylus
Plesiomorpha flaviceps
Pleuroprucha asthenaria
Plodia interpunctella
Plutella porrectella
Plutella xylostella
Polydesma boarmoides
Polyommatus icarus
Polysoma eumetalla
Acontia exigua
Pontia daplidice
Porphyrosela hardenbergiella
Porphyrosela minuta
Praeacedes atomosella
Prays citri
Prays fraxinella
Prays nephelomima
Prays oleae
Prays peregrina
Prepona laertes
Promalactis suzukiella
Sinica sinica
Psara jasiusalis
Pseudocoremia suavis
Pseudopostega zelopa
Psilogramma increta
Psyche casta
Psychoides filicivora
Pterolonche inspersa
Pygospila tyres
Pyralis farinalis
Pyralis manihotalis
Pyramidobela angelarum
Pyrausta inornatalis
Pyrausta panopealis
Pyroderces aellotricha
Pyropteron doryliformis
Pyrrharctia isabella
Recurvaria nanella
Mocis conveniens
Rhectocraspeda periusalis
Rhizedra lutosa
Rhopobota naevana
Rhyacionia buoliana
Ribua innoxia
Rothschildia orizaba
Samea ecclesialis
Samea multiplicalis
Sameodes cancellalis
Samia cynthia
Sarisophora leucoscia
Scardia amurensis
Sceliodes cordalis
Sceliodes laisalis
Schreckensteinia festaliella
Sciota adelphella
Sclerocona acutella
Scrobipalpa aptatella
Scrobipalpa atriplicella
Scrobipalpa obsoletella
Scrobipalpa ocellatella
Scythris buszkoi
Scythris limbella
Scythris sinensis
Scythropiodes issikii
Selania leplastriana
Sericinus montela
Serrodes mediopallens
Sesamia inferens
Sesamia nonagrioides
Sesia apiformis
Sesia siningensis
Setomorpha rutella
Simplicia cornicalis
Sisyracera inabsconsalis
Sitochroa palealis
Sitotroga cerealella
Sphacelodes vulneraria
Sphenarches anisodactylus
Sphinx pinastri
Sphyrelata amotella
Spilonota laricana
Spilonota ocellana
Spodoptera cilium
Spodoptera dolichos
Spodoptera eridania
Spodoptera exempta
Spodoptera exigua
Spodoptera frugiperda
Spodoptera littoralis
Spodoptera litura
Spodoptera mauritia
Spoladea recurvalis
Acontia margana
Spulerina isonoma
Statherotis discana
Stathmopoda auriferella
Stathmopoda cephalaea
Stathmopoda melanochra
Stegasta basqueella
Stegommata leptomitella
Stegommata sulfuratella
Stenolechia bathrodyas
Stenoma catenifer
Stenoptilia millieridactylus
Stenoptilia zophodactylus
Stenoptilodes brevipennis
Stericta carbonalis
Stictoptera cucullioides
Stigmella anomalella
Stigmella atricapitella
Stigmella aurella
Stigmella centifoliella
Stigmella microtheriella
Stigmella minusculella
Stigmella multispicata
Stigmella oxyacanthella
Stigmella suberivora
Stoeberhinus testaceus
Stomphastis thraustica
Strepsicrates infensa
Strepsicrates macropetana
Strepsicrates semicanella
Strepsicrates smithiana
Strymon bazochii
Thecla limenia
Stylopalpia luniferella
Suastus gremius
Swammerdamia pyrella
Symmetrischema capsica
Symmetrischema costaricanum
Symmetrischema striatella
Symmetrischema tangolias
Symmoca signatella
Synanthedon andrenaeformis
Synanthedon myopaeformis
Synanthedon tipuliformis
Synclita obliteralis
Aproaerema polychromella
Syngamia florella
Syngrapha interrogationis
Syntomeida epilais
Tachystola acroxantha
Tachystola hemisema
Targalla delatrix
Tathorhynchus exsiccata
Tebenna micalis
Tecia solanivora
Terastia meticulosalis
Thaumetopoea pityocampa
Thaumetopoea processionea
Thera britannica
Thera cupressata
Thera juniperata
Theretra latreillii
Theretra nessus
